Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Africa,Algeria,CGS Laboratory (in construction),6.1 x 6.1,60,6,pl/mi 150,pl/mi 250,pl/mi 100,pl/mi 1100,pl/mi 1100,pl/mi 1000,pl/mi 10,pl/mi 10,pl/mi 8,100,30/6/2010
Africa,South Africa,University of Witwatersrand,4 x 4,10,1,pl/mi 750,,,pl/mi 1000,,,pl/mi 10,,,40,17/7/2009
Asia,China,"China Academy of Building Research, Beijing",6.1 x 6.1,60,6,pl/mi 150,pl/mi 250,pl/mi 100,pl/mi 1000,pl/mi 1200,pl/mi 800,pl/mi 15,pl/mi 10,pl/mi 8,50,?
Asia,China,Guangzhou University,3 x 3,20,6,pl/mi 100,pl/mi 100,pl/mi 50,pl/mi 1000,pl/mi 1000,pl/mi 1000,pl/mi 26,pl/mi 26,pl/mi 50,50,10/7/2008
Asia,China,Nanjing University of Technology,3 x 5,15,3,pl/mi 120,pl/mi 120,pl/mi 120,pl/mi 500,pl/mi 500,pl/mi 500,pl/mi 10,pl/mi 10,pl/mi 10,50,?
Asia,China,"Tongji University, Shanghai",4 x 4,25,6,pl/mi 100,pl/mi 50,pl/mi 50,pl/mi 1000,pl/mi 600,pl/mi 600,pl/mi 40,pl/mi 20,pl/mi 40,50,?
Asia,China,Xi'a University of Architecture & Technology,2 x 2,?,?,?,?,?,?,?,?,?,?,?,?,?
Asia,Singapore,Nanyang Technological University,3 x 3,10,1,pl/mi 120,,,pl/mi 650,,,pl/mi 20,,,50,23/7/2008
Asia,Hong Kong,City University of Hong Kong,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Asia,Hong Kong,Hong Kong Polytechnic University,3 x 3,10,?,?,?,?,?,?,?,10,?,?,?,?
Asia,India,"Jamia Millia Islamia,New Delhi",5 x 5,20,1,pl/mi 500,,,?,?,?,pl/mi 20,,,100,?
Asia,India,IIT Guwahati,2.5 x 2.5,5,1,pl/mi 500,,,?,?,?,pl/mi 20,,,100,?
Asia,India,"CPRI Bangalore,Karnataka",3 x 3,10,6,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"IISc, Bangalore",1 x 1,0.5,6,pl/mi 220,pl/mi 220,pl/mi 100,pl/mi 570,pl/mi 570,pl/mi 570,pl/mi 30,pl/mi 30,pl/mi 20,50,23/7/2008
Asia,India,"SERC, Chennai (1 of 3), Tamil Nadu",4 x 4,30,3,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"SERC, Chennai (2 of 3),Tamil Nadu",2 x 2,5,3,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"SERC, Chennai (3 of 3),Tamil Nadu",3 x 3,10,6,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"Indira Gandhi Centre for Atomic Research(IGCAR), Chennai,Tamil Nadu",3 x 3,10,6,pl/mi 100,pl/mi 100,pl/mi 100,300,300,?,pl/mi 14.715,pl/mi 14.715,9.81,100,?
Asia,India,"IIT Roorkee,Uttarakhand",3.5 x 3.5,20,2,?,,?,?,,?,?,,?,?,?
Asia,India,"IIT Kanpur,Uttar Pradesh",1.2 x 1.8,4,1,pl/mi 75,,,pl/mi 1500,,,pl/mi 50,,,50,25/6/2009
Asia,India,"Bengal Engineering and Science University, Shibpur,West Bengal",1.5 x 1.5,?,1,?,,,?,,,?,,,?,19/11/2009
Asia,Iran,Iran University of Science & Technology (IUST),2 x 0.5,5,1,pl/mi 60,,,?,,,pl/mi 6.5,,,?,?
