make,origin,in service,notes
Dodge Charger,Canada,,Photo
Dodge Magnum,Canada,,Photo
Ford Taurus,United States,,Photo
Chevrolet Impala,Canada,,Photo
Ford Crown Victoria Police Interceptor,Canada,,Photo
Ford Freestar RIDE vehicle,Canada,,Photo
Chrysler PT Cruiser community/education vehicle,Mexico,,Photo
Chevrolet Tahoe,United States,,Photo
Ford F350,United States,,Photo
Ford Expedition,United States,,Photo
Ford Explorer,United States,,Photo
Jeep Cherokee,United States,,Photo
Dodge Polara,United States,1970s,"Retired, Photo"
Chevrolet Caprice,Canada,1970s-1998,Retired
