Representative,Years,State,Party,Lifespan
Charles A. Kading,,Wisconsin,Republican,
Steve Kagen,,Wisconsin,Democratic,
Florence Prag Kahn,,California,Republican,
Julius Kahn,,California,Republican,
Martin Kalbfleisch,,New York,Democratic,
Nicholas T. Kane,1887.0,New York,Democratic,
Paul Kanjorski,,Pennsylvania,Democratic,
Charles A. Karch,,Illinois,Democratic,
Raymond W. Karst,,Missouri,Democratic,
Frank M. Karsten,,Missouri,Democratic,
Joseph Karth,,Minnesota,Democratic-Farmer-Labor,
George A. Kasem,,California,Democratic,
John Kasich,,Ohio,Republican,
John A. Kasson,,Iowa,Republican,
Bob Kasten,,Wisconsin,Republican,
Robert Kastenmeier,,Wisconsin,Democratic,
David S. Kaufman,,Texas,Democratic,
Edward Kavanagh,,Maine,Democratic,
Will Kirk Kaynor,1929.0,Massachusetts,Republican,
Abraham Kazen,,Texas,Democratic,
John Kean,,New Jersey,Republican,
Robert Kean,,New Jersey,Republican,
Bernard W. Kearney,,New York,Republican,
Carroll D. Kearns,,Pennsylvania,Republican,
Charles Cyrus Kearns,,Ohio,Republican,
Edward Keating,,Colorado,Democratic,
Kenneth Keating,,New York,Republican,
William J. Keating,,Ohio,Republican,
Elizabeth Kee,,West Virginia,Democratic,
James Kee,,West Virginia,Democratic,
John Kee,,West Virginia,Democratic,
Frank Bateman Keefe,,Wisconsin,Republican,
Russell W. Keeney,,Illinois,Republican,
Richard Keese,,New York,Democratic,
Estes Kefauver,,Tennessee,Democratic,
James Nicholas Kehoe,,Kentucky,Democratic,
Walter Kehoe,,Florida,Democratic,
Edward C. Kehr,,Missouri,Democratic,
J. Warren Keifer,,Ohio,Republican,
Edwin W. Keightley,,Michigan,Republican,
George May Keim,,Pennsylvania,Democratic,
William High Keim,,Pennsylvania,Republican,
Abraham Lincoln Keister,,Pennsylvania,Republican,
Hastings Keith,,Massachusetts,Republican,
Laurence M. Keitt,,South Carolina,Democratic,
John A. Keliher,,Massachusetts,Democratic,
