Heat,Rank,Name,Result,Notes
1,1.0,Gabriela Szabo (ROU),15:26.62 Q,
1,2.0,Paula Radcliffe (GBR),15:27.25 Q,
2,3.0,Fernanda Ribeiro (POR),15:27.30 Q,
1,4.0,Harumi Hiroyama (JPN),15:27.75 Q,
1,5.0,Roberta Brunet (ITA),15:29.03 Q,
2,6.0,Liu Jianying (CHN),15:29.28 Q,PB
1,7.0,Ayelech Worku (ETH),15:29.37 Q,
1,8.0,Li Wei (CHN),15:29.62 Q,
1,9.0,Libbie Hickman (USA),15:30.56 q,SB
2,10.0,Lydia Cheromei (KEN),15:32.00 Q,
2,11.0,Merima Denboba (ETH),15:32.01 Q,
1,12.0,Gunhild Hall (NOR),15:32.13 q,
2,13.0,Naoko Takahashi (JPN),15:32.25 Q,
2,14.0,Yuko Kawakami (JPN),15:32.71 Q,
1,15.0,Kate Anderson (AUS),15:36.16 q,
1,16.0,Yelena Kopytova (RUS),15:37.19,PB
2,17.0,Sonia O'Sullivan (IRL),15:40.82,
2,18.0,Stela Olteanu (ROU),15:40.86,
1,19.0,Adriana Fernandez (MEX),15:41.55,
2,20.0,Olivera Jevtić (YUG),15:43.76,
1,21.0,Melody Fairchild (USA),15:47.66,
2,22.0,Chrystosomia Iakovou (GRE),15:51.14,
1,23.0,Marina Bastos (POR),15:54.01,
2,24.0,Restituta Joseph (TAN),15:55.22,NR
1,25.0,Valerie Vaughan (IRL),15:57.58,
1,26.0,Zohra Ouaziz (MAR),15:58.84,
2,27.0,Amy Rudolph (USA),16:00.87,
1,28.0,Genet Gebregiorgis (ETH),16:04.40,SB
1,29.0,Laurence Duquenoy (FRA),16:06.02,
2,30.0,Una English (IRL),16:07.09,
2,31.0,Jelena Chelnova (LAT),16:27.63,
2,32.0,Helena Javornik (SLO),16:28.38,
1,33.0,Justine Nahimana (BUR),17:21.77,
1,34.0,Nebiat Habtemariam (ERI),18:26.50,
1,35.0,Zalia Aliou (TOG),18:34.45,NR
1,36.0,Martha Portobanco (NCA),19:08.44,
2,,Anne Hare (NZL),DNF,
2,,Kristina da Fonseca-Wollheim (GER),DNF,
1,,Maysa Matrood (IRQ),DNS,
1,,Elana Meyer (RSA),DNS,
2,,Carol Howe (CAN),DNS,
2,,Annemari Sandell (FIN),DNS,
