num,date,venue,opponent,competition
1.0,6 September 1994,"Bazaly, Ostrava",Malta,Euro 1996 qualifying
2.0,8 March 1995,"Stadion Za Lužánkami, Brno",Finland,Friendly
3.0,8 March 1995,"Stadion Za Lužánkami, Brno",Finland,Friendly
4.0,29 March 1995,"Bazaly, Ostrava",Belarus,Euro 1996 qualifying
5.0,29 March 1995,"Bazaly, Ostrava",Belarus,Euro 1996 qualifying
6.0,26 April 1995,"Letná Stadium, Prague",Netherlands,Euro 1996 qualifying
7.0,7 October 1995,"Dinamo Stadium, Minsk",Belarus,Euro 1996 qualifying
8.0,15 November 1995,"Letná Stadium, Prague",Luxembourg,Euro 1996 qualifying
9.0,30 June 1996,"Wembley Stadium, London",Germany,Euro 1996
10.0,18 September 1996,"Na Stinadlech, Teplice",Malta,1998 World Cup qualification
11.0,18 September 1996,"Na Stinadlech, Teplice",Malta,1998 World Cup qualification
12.0,26 February 1997,"Zimni Stadion, Podebrady",Belarus,Friendly
13.0,14 October 1998,"Na Stinadlech, Teplice",Estonia,Euro 2000 qualifying
14.0,14 October 1998,"Na Stinadlech, Teplice",Estonia,Euro 2000 qualifying
15.0,27 March 1999,"Na Stinadlech, Teplice",Lithuania,Euro 2000 qualifying
16.0,5 June 1999,"Kadrioru Stadium, Tallinn",Estonia,Euro 2000 qualifying
17.0,8 September 1999,"Na Stinadlech, Teplice",Bosnia and Herzegovina,Euro 2000 qualifying
18.0,3 June 2000,"Frankenstadion, Nuremberg",Germany,Friendly
