Outcome,No.,Date,Tournament,Surface,Partner,Opponents,Score
Winner,1.0,"April 18, 2004","Jackson, United States",Clay,Alisa Kleybanova,Cory Ann Avants  Kristen Schlukebir,
,1.0,"September 26, 2004","Albuquerque, United States",Hard,Maria Emilia Salerni,Maureen Drake  Carly Gullickson,
Winner,2.0,"March 27, 2005","Redding, United States",Hard,Yulia Beygelzimer,Leanne Baker  Francesca Lubiani,
,2.0,"May 8, 2005","Raleigh, United States",Clay,Maria Fernanda Alves,Ashley Harkleroad  Lindsay Lee-Waters,
,3.0,"March 19, 2006","Orange, United States",Hard,Lilia Osterloh,Kateryna Bondarenko  Alona Bondarenko,
Winner,3.0,"November 12, 2006","Pittsburgh, United States",Hard (i),Alisa Kleybanova,Ashley Harkleroad  Galina Voskoboeva,
,4.0,"February 11, 2007","Midland, United States",Hard (i),Maureen Drake,Laura Granville  Abigail Spears,
,5.0,"July 7, 2007","Southlake, United States",Hard,Valerie Tetreault,Surina De Beer  Kim Grant,
Winner,4.0,"July 22, 2007","Hamilton, Canada",Clay,Surina De Beer,Michaela Johansson  Paula Zabala,walkover
Winner,5.0,"August 4, 2007","Vancouver, Canada",Hard,Marie-Ève Pelletier,Soledad Esperon  Agustina Lepore,
Winner,6.0,"October 21, 2007","Lawrenceville, United States",Hard,Alisa Kleybanova,Leanne Baker  Julie Ditty,
Winner,7.0,"November 12, 2007","Pittsburgh, United States",Hard (i),Alisa Kleybanova,Raquel Kops-Jones  Abigail Spears,
,6.0,"April 27, 2008","Dothan, United States",Clay,Maria Fernanda Alves,Tetiana Luzhanska  Michaela Paštiková,
Winner,8.0,"October 18, 2008","Toronto, Canada",Hard (i),Marie-Ève Pelletier,Nikola Frankova  Carmen Klaschka,
,7.0,"September 27, 2009","Saguenay, Canada",Hard (i),Rebecca Marino,Sofia Arvidsson  Severine Bremond Beltrame,
,8.0,"April 13, 2013","Poza Rica, Mexico",Hard,Olga Savchuk,Maria Fernanda Álvarez Terán  Maria Fernanda Alves,
,9.0,"May 18, 2013","Saint-Gaudens, France",Clay,Kurumi Nara,Julia Glushko  Paula Ormaechea,
