Rank,Heat,Name,Nationality,Time,Notes
1.0,1,Salem Al-Yami,Saudi Arabia,10.55,Q
2.0,1,Hiroyasu Tsuchie,Japan,10.64,Q
3.0,1,Khaled Yousef Al-Obaidli,Qatar,10.68,Q
4.0,1,Chintake De Zoysa,Sri Lanka,10.78,q
5.0,1,Suminda Mendis,Sri Lanka,10.82,"q, PB"
6.0,1,Vissanu Sophanich,Thailand,10.87,
7.0,1,Zakaria Messaike,Lebanon,11.06,
,1,Khalil Al-Hanahneh,Jordan,DNS,
1.0,2,Gennadiy Chernovol,Kazakhstan,10.59,Q
2.0,2,Yuta Kanno,Japan,10.64,Q
3.0,2,Shen Yunbao,China,10.72,Q
4.0,2,Tsai Meng-Lin,Chinese Taipei,10.74,q
5.0,2,Tan Kok Lim,Malaysia,10.83,q
6.0,2,Ahmad Hudeib Al-Mamari,Oman,10.97,
7.0,2,Tang Yui Han,Singapore,11.61,PB
8.0,2,Chaleunsouk Oudomphanh,Laos,11.76,SB
1.0,3,Jamal Al-Saffar,Saudi Arabia,10.57,Q
2.0,3,Reanchai Srihawong,Thailand,10.72,Q
3.0,3,Shin Jung-Ki,South Korea,10.79,
4.0,3,Chen Tien-Wen,Chinese Taipei,10.74,q
5.0,3,To Wai Lok,Hong Kong,10.92,
6.0,3,Poh Seng Song,Singapore,11.10,SB
7.0,3,Abdullah Ibrahim,Maldives,12.04,PB
,3,Sudath Ravindra Kumara,Sri Lanka,DQ,
1.0,4,Chen Haijian,China,10.65,Q
2.0,4,Saad Faraj Al-Shahwani,Qatar,10.67,Q
3.0,4,Azmi Ibrahim,Malaysia,10.78,Q
4.0,4,Chiang Wai Hung,Malaysia,10.89,
5.0,4,Nguyen Thanh Hai,Vietnam,11.16,PB
6.0,4,Piphop Rasme Prum Keo,Cambodia,11.70,PB
7.0,4,Bona Kong,Cambodia,11.75,PB
,4,Hamood Al-Dalhami,Oman,DQ,
