Outcome,No.,Date,Tournament,Surface,Opponent,Score
Runner-up,1.0,6 October 2003,"Bari, Italy",Clay,Bettina Pirker,
Runner-up,2.0,14 June 2005,"Lenzerheide, Switzerland",Clay,Danica Krstajić,
Runner-up,3.0,1 May 2006,"Catania, Italy",Clay,Maria Jose Martinez Sánchez,
Winner,1.0,25 July 2006,"Monteroni D'Arbia, Italy",Clay,Edina Gallovits-Hall,
Runner-up,4.0,31 July 2006,"Martina Franca, Italy",Clay,Margalita Chakhnashvili,
Runner-up,5.0,13 March 2007,"Orange, USA",Hard,Naomi Cavaday,
Runner-up,6.0,3 April 2007,"Dinan, France",Clay (i),Maša Zec Peškirič,
Runner-up,7.0,9 April 2007,"Civitavecchia, Italy",Clay,Darya Kustova,
Runner-up,8.0,9 July 2007,"Biella, Italy",Clay,Agnieszka Radwańska,
Runner-up,9.0,11 October 2010,"Settimo San Pietro, Italy",Clay,Anastasia Grymalska,
Winner,2.0,18 October 2010,"Seville, Spain",Clay,Andrea Gámiz,
Runner-up,10.0,16 November 2010,"Mallorca, Spain",Clay,Diana Enache,
Winner,3.0,7 June 2011,"Campobasso, Italy",Clay,Alize Lim,
Runner-up,11.0,14 June 2011,"Padova, Italy",Clay,Kristina Mladenovic,
Winner,4.0,20 June 2011,"Rome, Italy",Clay,Laura Thorpe,
Runner-up,12.0,27 August 2012,"Bagnatica, Italy",Clay,Maria-Elena Camerin,
Winner,5.0,4 September 2012,"Mestre, Italy",Clay,Estrella Cabeza Candela,
Runner-up,13.0,12 May 2013,"Trnava, Slovakia",Clay,Barbora Záhlavová-Strýcová,
