Model,Volume,Engine,Fuel,Power/Torque,Years produced,Produced
728i,2.8L,M52B28 I6,Petrol,142 kW (193 PS; 190 hp) / 280 N·m (207 lb·ft),,38947.0
728iL,2.8L,M52B28 I6,Petrol,142 kW (193 PS; 190 hp) / 280 N·m (207 lb·ft),,6816.0
730i,3.0L,M60B30 V8,Petrol,160 kW (218 PS; 215 hp) / 290 N·m (214 lb·ft),,20876.0
730iL,3.0L,M60B30 V8,Petrol,160 kW (218 PS; 215 hp) / 290 N·m (214 lb·ft),,2137.0
735i,3.5L,M62B35 V8,Petrol,173 kW (235 PS; 232 hp) / 320 N·m (236 lb·ft),,21481.0
735i,3.5L,M62TUB35 V8,Petrol,174 kW (237 PS; 233 hp) / 345 N·m (254 lb·ft),,
735iL,3.5L,M62B35 V8,Petrol,173 kW (235 PS; 232 hp) / 320 N·m (236 lb·ft),,6963.0
735iL,3.5L,M62TUB35 V8,Petrol,174 kW (237 PS; 233 hp) / 345 N·m (254 lb·ft),,
740i,4.0L,M60B40 V8,Petrol,210 kW (286 PS; 282 hp) / 400 N·m (295 lb·ft),,
740iL,4.0L,M60B40 V8,Petrol,210 kW (286 PS; 282 hp) / 400 N·m (295 lb·ft),,
740i,4.4L,M62B44 V8,Petrol,210 kW (286 PS; 282 hp) / 420 N·m (310 lb·ft),,88853.0
740i,4.4L,M62TUB44 V8,Petrol,210 kW (286 PS; 282 hp) / 440 N·m (325 lb·ft),,
740iL,4.4L,M62B44 V8,Petrol,210 kW (286 PS; 282 hp) / 420 N·m (310 lb·ft),,91431.0
740iL,4.4L,M62TUB44 V8,Petrol,210 kW (286 PS; 282 hp) / 440 N·m (325 lb·ft),,
750i-iL,5.4L,M73B54 V12,Petrol,240 kW (326 PS; 322 hp) / 490 N·m (361 lb·ft),,15759.0
750i-iL,5.4L,M73TUB54 V12,Petrol,240 kW (326 PS; 322 hp) / 490 N·m (361 lb·ft),,1032.0
725tds,2.5L,M51D25 turbocharged I6,Diesel,105 kW (143 PS; 141 hp) / 280 N·m (207 lb·ft),,9053.0
730d,2.9L,M57D30 turbocharged I6,Diesel,142 kW (193 PS; 190 hp) / 410 N·m (302 lb·ft),,12336.0
740d,3.9L,M67D40 turbocharged V8,Diesel,180 kW (245 PS; 241 hp) / 560 N·m (413 lb·ft),,3450.0
