season,series,team,races,wins,poles,f/laps,podiums,points,position
2003.0,Formula Renault 2.0 Italy,Cram Competition,12,0,1,1,3,118,7th
2003.0,Formula Renault 2000 Masters season,Cram Competition,8,0,0,0,0,0,28th
2003.0,Formula Renault 2.0 Germany,Cram Competition,2,0,0,0,0,3,43rd
2003.0,Formula Renault 2.0 Italy Winter Cup,Cram Competition,?,?,?,?,?,?,1st
2004.0,Formula Renault 2.0 Italy,Cram Competition,17,8,6,11,12,326,1st
2004.0,Formula Renault 2000 Eurocup,Cram Competition,15,2,0,1,3,134,8th
2004.0,Formula Renault V6 Eurocup,Cram Competition,2,0,0,0,0,12,21st
2004.0,Formula One,Minardi,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver
2005.0,World Series by Renault,DAMS,8,0,0,0,0,4,25th
2005.0,Italian Formula 3000,Sighinolfi Auto Racing,4,1,1,1,1,14,9th
2006.0,World Series by Renault,Draco Racing,17,3,5,6,5,103,3rd
2007.0,GP2 Series,Trident Racing,13,1,1,0,2,25,11th
2007.0,Euroseries 3000,G-Tec,2,1,1,1,1,12,10th
2007.0,Formula 3000 Italy,G-Tec,2,1,1,1,1,12,8th
2008.0,GP2 Series,Piquet Sports,20,1,2,3,6,60,5th
2008.0,International GT Open - GTS,Scuderia Latorre,2,0,0,0,1,8,22nd
2008.0,Euroseries 3000,GP Racing,1,1,0,1,1,11,12th
2008.0,International GT Open,Scuderia Latorre,?,?,?,?,?,18,32nd
,GP2 Asia Series,ART Grand Prix,5,0,0,0,1,7,15th
2009.0,Euroseries 3000,Teamcraft Motorsport,2,1,0,0,1,10,10th
2009.0,GP2 Series,ART Grand Prix,20,2,0,0,2,36,6th
2010.0,GP2 Series,Rapax Team,20,6,0,5,8,87,1st
2011.0,Formula One,AT&T Williams,19,0,0,0,0,1,18th
2012.0,Formula One,Williams F1 Team,20,1,1,0,1,45,15th
2013.0,Formula One,Williams F1 Team,19,0,0,0,0,1,18th
2014.0,Formula One,Lotus F1 Team,2,0,0,0,0,0*,NC*
