num,date,venue,opponent,competition
1.0,"September 29, 2006","Lionel Roberts Park, Charlotte Amalie",Bermuda,2007 Caribbean Cup qualifier
2.0,"October 1, 2006","Lionel Roberts Park, Charlotte Amalie",U.S. Virgin Islands,2007 Caribbean Cup qualifier
3.0,"October 1, 2006","Lionel Roberts Park, Charlotte Amalie",U.S. Virgin Islands,2007 Caribbean Cup qualifier
4.0,"October 1, 2006","Lionel Roberts Park, Charlotte Amalie",U.S. Virgin Islands,2007 Caribbean Cup qualifier
5.0,"October 1, 2006","Lionel Roberts Park, Charlotte Amalie",U.S. Virgin Islands,2007 Caribbean Cup qualifier
6.0,"July 8, 2011","Estadio Panamericano, San Cristobal",Anguilla,2014 FIFA World Cup qualifier
7.0,"July 10, 2011","Estadio Panamericano, San Cristobal",Anguilla,2014 FIFA World Cup qualifier
8.0,"October 11, 2011","Andre Kamperveen Stadion, Paramaribo",Suriname,2014 FIFA World Cup qualifier
9.0,"September 27, 2012","Kensington Oval, Bridgetown",Dominica,2012 Caribbean Cup qualifier
10.0,"September 27, 2012","Kensington Oval, Bridgetown",Dominica,2012 Caribbean Cup qualifier
11.0,"October 23, 2012","Stade Rene Serge Nabajoth, Les Abymes",Guadeloupe,2012 Caribbean Cup qualifier
12.0,"October 23, 2012","Stade Rene Serge Nabajoth, Les Abymes",Guadeloupe,2012 Caribbean Cup qualifier
13.0,"October 27, 2012","Stade Rene Serge Nabajoth, Les Abymes",Puerto Rico,2012 Caribbean Cup qualifier
14.0,"October 27, 2012","Stade Rene Serge Nabajoth, Les Abymes",Puerto Rico,2012 Caribbean Cup qualifier
15.0,"December 7, 2012","Antigua Recreation Ground, St.John's",Antigua and Barbuda,2012 Caribbean Cup
16.0,"March 24, 2013","Estadio Panamericano, San Cristobal",Haiti,Friendly
