county,kerry,votes,bush,votes 1,others,votes 2
Bronx,82.8%,283994,16.5%,56701,0.7%,2284
Manhattan,82.1%,526765,16.7%,107405,1.2%,7781
Brooklyn,74.9%,514973,24.3%,167149,0.8%,5762
Queens,71.7%,433835,27.4%,165954,0.9%,5603
Tompkins,64.2%,27229,33.0%,13994,2.8%,1179
Albany,60.7%,89323,37.3%,54872,2.0%,3004
Westchester,58.1%,229849,40.3%,159628,1.6%,6293
Erie,56.4%,251090,41.4%,184423,2.2%,9625
Saint Lawrence,54.7%,22857,43.2%,18029,2.1%,869
Ulster,54.3%,47602,43.1%,37821,2.6%,2289
Onondaga,54.2%,116381,43.8%,94006,2.0%,4202
Nassau,52.2%,323070,46.6%,288355,1.1%,6918
Clinton,52.2%,"17, 624",45.4%,15330,2.3%,782
Franklin,52.1%,"9,543",45.8%,8383,2.1%,390
Schenectady,51.8%,"35,971",46.2%,32066,2.1%,1432
Columbia,51.2%,"15,929",46.5%,14457,2.3%,717
Monroe,50.6%,"173,497",47.7%,163545,1.7%,5939
Broome,50.4%,"46,281",47.4%,43568,2.2%,2041
Rensselaer,49.7%,"36,075",47.9%,34734,2.4%,1705
Suffolk,49.5%,"315,909",48.5%,309949,2.0%,12854
Niagara,49.3%,"47,602",48.8%,47111,1.9%,1867
Rockland,48.9%,"64,191",49.6%,65130,1.5%,1910
Cayuga,48.6%,"17,534",49.2%,17743,2.1%,775
Sullivan,48.6%,"15,034",49.5%,15319,2.0%,613
Otsego,47.7%,"12,723",50.1%,13342,2.2%,587
Dutchess,47.0%,"58,232",51.2%,63372,1.8%,2277
Cortland,46.9%,"10,670",51.0%,11613,2.1%,477
Oswego,46.8%,"24,133",51.0%,26325,2.2%,1149
Essex,45.9%,"8,768",51.7%,9869,2.3%,445
Saratoga,45.6%,"48,730",52.5%,56158,1.9%,1985
Seneca,45.5%,"6,979",52.1%,7981,2.4%,365
Chautauqua,44.7%,"27,257",53.2%,32434,2.1%,1251
Montgomery,44.5%,"9,449",53.4%,11338,2.0%,434
Orange,43.8%,"63,394",54.7%,79089,1.5%,2190
Chemung,43.7%,"17,080",54.6%,21321,1.7%,674
Chenango,43.5%,"9,277",54.3%,11582,2.3%,482
Jefferson,43.5%,"16,860",54.7%,21231,1.8%,709
Madison,43.3%,"13,121",54.6%,16537,2.1%,629
Warren,43.2%',"13,405",54.6%,16969,2.2%,685
Oneida,42.8%,"40,792",54.9%,52392,2.3%,2185
Richmond (Staten Island),42.7%,"68,448",56.4%,90325,0.9%,1370
Washington,42.3%,"10,624",55.1%,13827,2.6%,652
Ontario,42.2%,"21,166",55.9%,27999,1.9%,937
Putnam,42.0%,"19,575",56.6%,26356,1.4%,632
Fulton,41.4%,"9,202",56.6%,12570,2.0%,443
Delaware,41.2%,"8,724",56.5%,11958,2.3%,484
Herkimer,41.2%,"11,675",56.6%,16024,2.2%,611
Tioga,40.6%,"9,694",57.6%,13762,1.9%,446
Schuyler,40.1%,"3,445",57.7%,4960,2.2%,185
Greene,39.9%,"8,933",58.0%,12996,2.1%,469
Lewis,39.9%,"4,546",58.1%,6624,2.0%,227
Cattaraugus,39.4%,"13,514",58.5%,20051,2.0%,697
Yates,39.3%,"4,205",58.9%,6309,1.8%,197
Schoharie,38.7%,"5,630",59.0%,8591,2.3%,336
Livingston,38.4%,"11,504",59.2%,17729,2.4%,715
Wayne,38.1%,"15,709",60.0%,24709,1.9%,782
Genesee,37.5%,"10,331",60.6%,16725,1.9%,524
Orleans,36.0%,"5,959",62.3%,10317,1.8%,297
Steuben,34.3%,"14,523",63.8%,26980,1.8%,781
Allegany,34.1%,"6,566",63.9%,12310,2.0%,394
Wyoming,33.8%,"6,134",64.7%,11745,1.6%,285
Hamilton,31.0%,"1,145",67.0%,2475,2.0%,72
