date,opponentnum,ranknum,site,tv,result,attendance
September 12,#7 Nebraska*,,"Kinnick Stadium • Iowa City, IA",,W 10-7,60160
September 19,at Iowa State*,,"Cyclone Stadium • Ames, IA (Cy-Hawk Trophy)",,L 12-23,53922
September 26,#6 UCLA*,,"Kinnick Stadium • Iowa City, IA",,W 20-7,60004
October 3,at Northwestern,#18,"Dyche Stadium • Evanston, IL",,W 64-0,30113
October 10,Indiana,#15,"Kinnick Stadium • Iowa City, IA",,W 42-28,60000
October 17,at #5 Michigan,#12,"Michigan Stadium • Ann Arbor, MI",,W 9-7,105915
October 24,Minnesota,#6,"Kinnick Stadium • Iowa City, IA (Floyd of Rosedale)",ABC,L 10-12,60000
October 31,at Illinois,#16,"Memorial Stadium • Champaign, IL",,L 7-24,66877
November 7,Purdue,,"Kinnick Stadium • Iowa City, IA",,W 33-7,60114
November 14,at Wisconsin,,"Camp Randall Stadium • Madison, WI",ABC,W 17-7,78731
November 21,Michigan State,#19,"Kinnick Stadium • Iowa City, IA",,W 36-7,60103
January 1,vs. #12 Washington*,#13,"Rose Bowl • Pasadena, CA (Rose Bowl)",NBC,L 0-28,105611
