Season/Torneo,Jornada or Other,Home Team,Result,Away Team,Stadium,Date
,2,Chivas,,America,Estadio Jalisco,11 September 1983
,21,America,,Chivas,Estadio Azteca,22 January 1984
,Final Ida,Chivas,,America,Estadio Jalisco,7 June 1984
,Final Vuelta,America,,Chivas,Estadio Azteca,10 June 1984
,13,America,,Chivas,Estadio Azteca,11 December 1984
,32,Chivas,,America,Estadio Jalisco,24 March 1985
,Quarterfinals Ida,Chivas,,America,Estadio Jalisco,7 May 1985
,Quarterfinals Vuelta,America,,Chivas,Estadio Azteca,12 May 1985
,3,America,,Chivas,Estadio Azteca,17 August 1986
,24,Chivas,,America,Estadio Jalisco,11 January 1987
,15,America,,Chivas,Estadio Azteca,20 December 1987
,34,Chivas,,America,Estadio Jalisco,15 May 1988
,12,Chivas,,America,Estadio Jalisco,29 December 1988
,31,America,,Chivas,Estadio Azteca,30 April 1989
1988-1989 Season,Liguilla,America,2-1,Chivas,Estadio Azteca,"June 22, 1989"
1988-1989 Season,Liquilla,Chivas,1-2,America,Estadio Jalisco,"June 25, 1989"
1989-1990 Season,3,Chivas,2-2,America,Estadio Jalisco,"September 24, 1989"
1989-1990 Season,22,America,2-2,Chivas,Estadio Azteca,"January 14, 1990"
1990-1991 Season,12,Chivas,1-1,America,Estadio Jalisco,"December 9, 1990"
1990-1991 Season,31,America,2-2,Chivas,Estadio Azteca,"April 14, 1991"
1990-1991 Season,Semifinals Ida,Chivas,0-2,America,Estadio Jalisco,"June 13, 1991"
1990-1991 Season,Semifinals Vuelta,America,3-0,Chivas,Estadio Azteca,"June 16, 1991"
1991-1992 Season,2,America,1-1,Chivas,Estadio Azteca,"September 22, 1991"
1991-1992 Season,21,Chivas,0-0,America,Estadio Jalisco,"January 19, 1992"
1992-1993 Season,3,Chivas,1-0,America,Estadio Jalisco,"August 30, 1992"
1992-1993 Season,22,America,2-1,Chivas,Estadio Azteca,"January 10, 1993"
1993-1994 Season,4,Chivas,0-0,America,Estadio Jalisco,"September 5, 1993"
1993-1994 Season,23,America,1-0,Chivas,Estadio Azteca,"January 5, 1994"
1994-1995 Season,11,Chivas,3-4,America,Estadio Jalisco,"November 13, 1994"
1994-1995 Season,30,America,0-0,Chivas,Estadio Azteca,"March 19, 1995"
1995-1996 Season,9,Chivas,0-2,America,Estadio Jalisco,"October 22, 1995"
1995-1996 Season,26,America,2-3,Chivas,Estadio Azteca,"February 18, 1996"
Invierno 1996,3,Chivas,5-0,America,Estadio Jalisco,"August 25, 1996"
Verano 1997,3,America,0-0,Chivas,Estadio Azteca,"January 27, 1997"
Invierno 1997,4,Chivas,1-2,America,Estadio Jalisco,"August 10, 1997"
