Ecclesiastical Jurisdictions,Latin name,Type,Rite,Ecclesiastical Province,Established,Area (km2)
Bani,Baniensis,Diocese,Roman,Santo Domingo,8 November 1986,2892.0
Barahona,Barahonensis,Diocese,Roman,Santo Domingo,24 April 1976,6973.0
Dominican Republic,Reipublicae Dominicanae,Military Ordinariate,Roman,Immediately subject to the Holy See,23 January 1958,
La Vega,Vegensis,Diocese,Roman,Santiago de los Caballeros,25 September 1953,4919.0
Mao-Monte Cristi,,Diocese,Roman,Santiago de los Caballeros,16 January 1978,4841.0
Nuestra Senora de la Altagracia en Higuey,Higueyensis / a Domina Nostra vulgo de la Altagracia in Higuey,Diocese,Roman,Santo Domingo,1 April 1959,5437.0
Puerto Plata,Portus Argentarii,Diocese,Roman,Santiago de los Caballeros,16 December 1996,2700.0
San Francisco de Macoris,Sancti Francisci de Macoris,Diocese,Roman,Santiago de los Caballeros,16 January 1978,3682.0
San Juan de la Maguana,Sancti Ioannis Maguanensis,Diocese,Roman,Santo Domingo,25 September 1953,7476.0
San Pedro de Macoris,Sancti Petri de Macoris,Diocese,Roman,Santo Domingo,1 February 1997,2588.0
Santiago de los Caballeros,Sancti Iacobi Equitum,Metropolitan Archdiocese,Roman,Santiago de los Caballeros,25 September 1953,6391.0
Santo Domingo,Sancti Dominici,Metropolitan Archdiocese,Roman,Santo Domingo,8 August 1511,4033.0
