Season,Club,Country,Competition,Apps.,Goals
1997/98,Rapide Club Lebbeke,Belgium,Fourth Division,,
1998/99,KSC Eendracht Aalst,Belgium,Jupiler League,30.0,7.0
1999/00,KSC Eendracht Aalst,Belgium,Jupiler League,31.0,7.0
2000/01,KSC Eendracht Aalst,Belgium,Jupiler League,30.0,6.0
2001/02,Omonia Nicosia,Cyprus,Cypriot First Division,22.0,8.0
2002/03,FC Denderleeuw,Belgium,Belgian Second Division,32.0,23.0
2003/04,1. FC Saarbrucken,Germany,Regionalliga Sud,33.0,16.0
2004/05,1. FC Saarbrucken,Germany,2. Bundesliga,14.0,7.0
2005/06,1. FC Saarbrucken,Germany,2. Bundesliga,10.0,0.0
2005/06,S.V. Zulte Waregem,Belgium,Jupiler League,14.0,1.0
2006/07,FCV Dender EH,Belgium,Belgian Second Division,33.0,21.0
2007/08,MVV,Netherlands,Eerste divisie,33.0,22.0
2008/09,MVV,Netherlands,Eerste divisie,32.0,20.0
Total,Last Updated,8 July 2009,,302.0,132.0
