num,Date,Opponent,Score,Win,Loss,Save,Attendance,Record
85,July 1,@ Marlins,,,,,12166,
86,July 2,@ Marlins,,,,,23624,
87,July 3,@ Reds,,,,Cordero (16),23259,
88,July 4,@ Reds,,,,Cordero (17),22626,
89,July 5,@ Reds,,,,,37121,
90,July 6,@ Reds,,,,Cordero (18),28814,
91,July 8,D-backs,,,,Lyon (19),26820,
92,July 9,D-backs,,,,,25862,
93,July 10,D-backs,,,,,27330,
94,July 11,Astros,,,,Shell (1),33653,
95,July 12,Astros,,,,Valverde (24),30682,
96,July 13,Astros,,,,,31463,
97,July 18,@ Braves,,,,González (4),39861,
98,July 19,@ Braves,,,,,43285,
99,July 20,@ Braves,,,,,29320,
100,July 22,@ Giants,,,,Wilson (26),34813,
101,July 23,@ Giants,,,,Wilson (27),35539,
102,July 24,@ Giants,,,,,36963,
103,July 25,@ Dodgers,,,,Broxton (3),47313,
104,July 26,@ Dodgers,,,,,42122,
105,July 27,@ Dodgers,,,,Broxton (4),38660,
106,July 29,Phillies,,,,Lidge (25),34039,
107,July 30,Phillies,,,,Lidge (26),31798,
108,July 31,Phillies,,,,,31658,
