place,position,number,name,nasl,playoffs,cfu club championship,concacaf champions league,total
1.0,FW,11.0,Nicholas Addlery,9,0,0,1,10
2.0,FW,9.0,Jonathan Fana,4,0,4,0,8
3.0,FW,7.0,David Foley,6,1,0,0,7
3.0,FW,24.0,Hector Ramos,3,0,2,2,7
5.0,DF,33.0,Jay Needham,3,0,0,0,3
5.0,FW,22.0,Gregory Richardson,1,0,1,1,3
7.0,MF,20.0,Josh Hansen,0,0,2,0,2
7.0,,,Own Goal,0,0,2,0,2
9.0,DF,3.0,Richard Martinez,1,0,0,0,1
9.0,DF,16.0,Anthony Vázquez,1,0,0,0,1
9.0,DF,5.0,Noah Delgado,1,0,0,0,1
9.0,MF,14.0,Jarad Van Schaik,1,0,0,0,1
9.0,MF,17.0,Tyler Wilson,1,0,0,0,1
9.0,MF,24.0,Justin Fojo,1,0,0,0,1
,,,TOTALS,32,1,11,4,48
