Name,Quadrant,Sector,Ward,Type,2012 Population Rank,Population (2012),Population (2011),percentage change,Dwellings (2012),Area (km2),Population density
Abbeydale,NE/SE,Northeast,10,Residential,82,5917.0,5700.0,3.8,2023.0,1.7,"3,480.6"
Acadia,SE,South,9,Residential,27,10705.0,10615.0,0.8,5053.0,3.9,"2,744.9"
Albert Park/Radisson Heights,SE,East,10,Residential,75,6234.0,6217.0,0.3,2709.0,2.5,"2,493.6"
Altadore,SW,Centre,11,Residential,39,9116.0,8907.0,2.3,4486.0,2.9,"3,143.4"
Alyth/Bonnybrook,SE,Centre,9,Industrial,208,16.0,17.0,-5.9,14.0,3.8,4.2
Applewood Park,SE/NE,East,10,Residential,69,6498.0,6404.0,1.5,2215.0,1.6,"4,061.3"
Arbour Lake,NW,Northwest,2,Residential,26,10836.0,10762.0,0.7,3918.0,4.4,"2,462.7"
Aspen Woods,SW,West,6,Residential,92,5271.0,4469.0,17.9,2281.0,3.8,"1,387.1"
Auburn Bay,SE,Southeast,12,Residential,60,7193.0,5769.0,24.7,2808.0,4.5,"1,598.4"
Aurora Business Park,NE,North,3,Industrial,237,0.0,0.0,,0.0,2.4,0
Banff Trail,NW,Centre,7,Residential,113,3837.0,3582.0,7.1,1950.0,1.5,"2,558"
Bankview,SW,Centre,8,Residential,94,5221.0,4754.0,9.8,3528.0,0.7,"7,458.6"
Bayview,SW,South,11,Residential,182,682.0,648.0,5.2,249.0,0.4,"1,705"
Beddington Heights,NW/NE,North,4,Residential,20,11585.0,11457.0,1.1,4348.0,3.2,"3,620.3"
Bel-Aire,SW,Centre,11,Residential,188,424.0,449.0,-5.6,159.0,0.3,"1,413.3"
Beltline,SW/SE,Centre,8,Residential,3,19681.0,19556.0,0.6,14456.0,2.9,"6,786.6"
Bonavista Downs,SE,South,14,Residential,177,925.0,947.0,-2.3,370.0,0.5,"1,850"
Bowness,NW,Northwest,1,Residential,24,11012.0,10700.0,2.9,5313.0,5.6,"1,966.4"
Braeside,SW,South,11,Residential,81,5940.0,5978.0,-0.6,2544.0,2.0,"2,970"
Brentwood,NW,Northwest,7,Residential,80,6059.0,6049.0,0.2,2595.0,2.9,"2,089.3"
Bridgeland/Riverside,NE/SE,Centre,7/9,Residential,89,5594.0,5254.0,6.5,3274.0,3.1,"1,804.5"
Bridlewood,SW,South,13,Residential,18,11835.0,11641.0,1.7,4200.0,3.2,"3,698.4"
Britannia,SW,Centre,11,Residential,180,803.0,746.0,7.6,309.0,0.5,"1,606"
Burns Industrial,SE,Centre,9,Industrial,211,0.0,11.0,-100.0,2.0,2.9,0
Calgary International Airport,NE,Northeast,3,Industrial,212,0.0,0.0,,4.0,20.6,0
Cambrian Heights,NW,Centre,7,Residential,152,2059.0,2039.0,1.0,930.0,0.9,"2,287.8"
Canada Olympic Park,SW,West,1,Major Park,238,0.0,0.0,,0.0,0.9,0
Canyon Meadows,SW,South,13,Residential,55,7787.0,7895.0,-1.4,3195.0,3.1,"2,511.9"
Capitol Hill,NW,Centre,7,Residential,110,4015.0,4003.0,0.3,2291.0,1.4,"2,867.9"
Castleridge,NE,Northeast,5,Residential,78,6096.0,6098.0,0.0,1954.0,1.2,"5,080"
Cedarbrae,SW,South,11,Residential,74,6237.0,6264.0,-0.4,2609.0,2.1,"2,970"
CFB Currie,SW,West,11,Residential,197,172.0,24.0,616.7,76.0,1.1,156.4
CFB Lincoln Park PMQ,SW,West,11,Residential,154,1973.0,1984.0,-0.6,729.0,0.4,"4,932.5"
Chaparral,SE,South,14,Residential,21,11552.0,11151.0,3.6,3759.0,5.4,"2,139.3"
Charleswood,NW,Northwest,7,Residential,121,3421.0,3357.0,1.9,1494.0,1.8,"1,900.6"
Chinatown,SW/SE,Centre,7,Residential,164,1577.0,1269.0,24.3,1381.0,0.2,"7,885"
Chinook Park,SW,South,11,Residential,160,1707.0,1703.0,0.2,589.0,0.6,"2,845"
Christie Park,SW,West,6,Residential,149,2196.0,2180.0,0.7,728.0,0.8,"2,745"
Citadel,NW,Northwest,2,Residential,33,10197.0,10171.0,0.3,3479.0,2.7,"3,776.7"
Cityscape,NE,Northeast,3,Residential,,,,,,,
Cliff Bungalow,SW,Centre,8,Residential,155,1936.0,1912.0,1.3,1377.0,0.4,"4,840"
Coach Hill,SW,West,6,Residential,126,3279.0,3194.0,2.7,1480.0,1.1,"2,980.9"
Collingwood,NW,Northwest,7,Residential,146,2222.0,2231.0,-0.4,978.0,1.6,"1,388.8"
Copperfield,SE,Southeast,12,Residential,54,7834.0,7162.0,9.4,3043.0,4.4,"1,780.5"
Coral Springs,NE,Northeast,5,Residential,84,5868.0,5838.0,0.5,1508.0,1.8,"3,260"
Cougar Ridge,SW,West,6,Residential,83,5874.0,5813.0,1.0,1908.0,2.2,"2,670"
Country Hills,NW,North,4,Residential,116,3728.0,3720.0,0.2,1426.0,1.9,"1,962.1"
Country Hills Village,NE,North,3,Residential,135,2615.0,2342.0,11.7,1467.0,1.0,"2,615"
Coventry Hills,NE,North,3,Residential,7,15969.0,15722.0,1.6,5322.0,4.1,"3,894.9"
Cranston,SE,Southeast,12,Residential,16,11857.0,10831.0,9.5,4625.0,8.3,"1,428.6"
Crescent Heights,NE/NW,Centre,7,Residential,72,6271.0,5895.0,6.4,3614.0,1.6,"3,919.4"
Crestmont,SW,West,1,Residential,169,1454.0,1430.0,1.7,462.0,0.6,"2,423.3"
Dalhousie,NW,Northwest,7,Residential,40,9085.0,8917.0,1.9,3739.0,3.3,"2,753"
Deer Ridge,SE,South,14,Residential,109,4084.0,3991.0,2.3,1501.0,1.4,"2,917.1"
Deer Run,SE,South,14,Residential,91,5341.0,5390.0,-0.9,2113.0,1.9,"2,811.1"
Deerfoot Business Centre,NE,Northeast,3,Industrial,239,0.0,0.0,,0.0,2.0,0
Diamond Cove,SE,South,14,Residential,181,699.0,716.0,-2.4,271.0,0.5,"1,398"
Discovery Ridge,SW,West,6,Residential,103,4350.0,4321.0,0.7,1649.0,3.6,"1,208.3"
Douglasdale/Glen,SE,Southeast,12,Residential,15,11890.0,11768.0,1.0,4217.0,6.4,"1,857.8"
Dover,SE,East,9,Residential,30,10474.0,10302.0,1.7,4722.0,4.2,"2,493.8"
Downtown Commercial Core,SW/SE,Centre,7/8,Residential,52,8015.0,8071.0,-0.7,5121.0,1.3,"6,165.4"
Downtown East Village,SE,Centre,7,Residential,132,2782.0,2747.0,1.3,1230.0,0.5,"5,564"
Downtown West End,SW,Centre,8,Residential,142,2322.0,2483.0,-6.5,1628.0,0.4,"5,805"
