competition,round,opponent,agg 
Inter-Cities Fairs Cup,R1,Everton,
Inter-Cities Fairs Cup,R2,Hearts,
European Cup,R1,17 Nëntori Tirana,Bye
European Cup,R2,Linfield,
UEFA Cup,R1,Athlone Town,
Cup Winners' Cup,R1,Legia Warszawa,
European Cup,PR,Dinamo Bucureşti,
European Cup,R1,Sparta Prague,
European Cup,R1,Zenit Leningrad,
UEFA Cup,R1,Beveren,
Cup Winners' Cup,R1,Rapid Bucureşti,
Cup Winners' Cup,R2,Beşiktaş,
Cup Winners' Cup,QF,Chelsea,
Intertoto Cup,R1,FK Ventspils,
UEFA Cup,R1,Grazer AK,
UEFA Cup,R2,Wisła Krakow,
UEFA Cup,R3,Newcastle United,
Champions League,QR2,Haka,
Champions League,QR3,Club Brugge,
UEFA Cup,R1,Steaua Bucureşti,
Champions League,QR2,Mladá Boleslav,
UEFA Cup,QR1,Flora Tallinn,
UEFA Cup,QR2,Ekranas,
UEFA Cup,R1,Austria Wien,
Europa League,QR3,PAOK,
Europa League,QR2,Mika,
Europa League,QR3,PAOK,
