season,league,gold,silver,bronze,winning manager
,League of Norway,Fredrikstad*,Lyn,,
,League of Norway,Fredrikstad,Skeid,,
,League of Norway,Freidig,Sparta,,
,Main League,Fredrikstad,Vålerenga,,
,Main League,Fram Larvik,Fredrikstad,,
,Main League,Fredrikstad,Odd,,
,Main League,Fredrikstad,Brann,,
,Main League,Larvik Turn,Skeid,,
,Main League,Fredrikstad,Skeid,,
,Main League,Larvik Turn,Fredrikstad,,
,Main League,Larvik Turn,Fredrikstad,,
,Main League,Fredrikstad*,Odd,,
,Main League,Viking,Skeid,,Georg Monsen William Danielsen Jens Opsahl
,Main League,Lillestrøm,Fredrikstad,,Karl Gudmundson Rolf Brubak
,Main League,Fredrikstad*,Lillestrøm,Eik-Tønsberg,
,Main League,Fredrikstad,Eik-Tønsberg,Vålerenga,
,Main League,Brann,Steinkjer,Fredrikstad,Oddvar Hansen
1963.0,First Division,Brann,Lyn,Skeid,Oddvar Hansen
1964.0,First Division,Lyn,Fredrikstad,Sarpsborg,John Sveinsson
1965.0,First Division,Vålerenga,Lyn,Sarpsborg,Anton Ploderer
1966.0,First Division,Skeid,Fredrikstad,Lyn,
1967.0,First Division,Rosenborg,Skeid,Lyn,Knut Næss
1968.0,First Division,Lyn*,Rosenborg,Viking,Knut Osnes
1969.0,First Division,Rosenborg,Fredrikstad,Strømsgodset,George Curtis
1970.0,First Division,Strømsgodset*,Rosenborg,Ham-Kam,Einar Larsen
1971.0,First Division,Rosenborg*,Lyn,Viking,Nils Arne Eggen
1972.0,First Division,Viking,Fredrikstad,Strømsgodset,Kjell Schou-Andreassen
1973.0,First Division,Viking,Rosenborg,Start,Sverre Andersen
1974.0,First Division,Viking,Molde,Vålerenga,Stuart Williams
1975.0,First Division,Viking,Brann,Start,Olav Nilsen
1976.0,First Division,Lillestrøm,Mjøndalen,Brann,Joar Hoff
1977.0,First Division,Lillestrøm*,Bodø/Glimt,Molde,Joe Hooley
1978.0,First Division,Start,Lillestrøm,Viking,Karsten Johannessen
1979.0,First Division,Viking*,Moss,Start,Tony Knapp
1980.0,First Division,Start,Bryne,Lillestrøm,Karsten Johannessen
1981.0,First Division,Vålerenga,Viking,Rosenborg,Leif Eriksen
1982.0,First Division,Viking,Bryne,Lillestrøm,Kjell Schou-Andreassen
1983.0,First Division,Vålerenga,Lillestrøm,Start,Gunder Bengtsson
1984.0,First Division,Vålerenga,Viking,Start,Gunder Bengtsson Per Anders Sjøvold
1985.0,First Division,Rosenborg,Lillestrøm,Vålerenga,Arne Dokken Bjørn Hansen
1986.0,First Division,Lillestrøm,Mjøndalen,Kongsvinger,Tom Lund
1987.0,First Division,Moss,Molde,Kongsvinger,Nils Arne Eggen
1988.0,First Division,Rosenborg*,Lillestrøm,Molde,Nils Arne Eggen
1989.0,First Division,Lillestrøm,Rosenborg,Tromsø,David Hay
1990.0,First Division,Rosenborg,Tromsø,Molde,Nils Arne Eggen
1991.0,Tippeligaen,Viking,Rosenborg,Start,Benny Lennartsson
1992.0,Tippeligaen,Rosenborg*,Kongsvinger,Start,Nils Arne Eggen
1993.0,Tippeligaen,Rosenborg,Bodø/Glimt,Lillestrøm,Nils Arne Eggen
1994.0,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
1995.0,Tippeligaen,Rosenborg*,Molde,Bodø/Glimt,Nils Arne Eggen
1996.0,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
1997.0,Tippeligaen,Rosenborg,Brann,Strømsgodset,Nils Arne Eggen
1998.0,Tippeligaen,Rosenborg,Molde,Stabæk,Trond Sollied
1999.0,Tippeligaen,Rosenborg*,Molde,Brann,Nils Arne Eggen
2000.0,Tippeligaen,Rosenborg,Brann,Viking,Nils Arne Eggen
2001.0,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
2002.0,Tippeligaen,Rosenborg,Molde,Lyn,Nils Arne Eggen
2003.0,Tippeligaen,Rosenborg*,Bodø/Glimt,Stabæk,Åge Hareide
2004.0,Tippeligaen,Rosenborg,Vålerenga,Brann,Ola By Rise
2005.0,Tippeligaen,Vålerenga,Start,Lyn,Kjetil Rekdal
2006.0,Tippeligaen,Rosenborg,Brann,Vålerenga,Knut Tørum Per-Mathias Høgmo
2007.0,Tippeligaen,Brann,Stabæk,Viking,Mons Ivar Mjelde
2008.0,Tippeligaen,Stabæk,Fredrikstad,Tromsø,Jan Jönsson
2009.0,Tippeligaen,Rosenborg,Molde,Stabæk,Erik Hamren
2010.0,Tippeligaen,Rosenborg,Vålerenga,Tromsø,Nils Arne Eggen Erik Hamren
2011.0,Tippeligaen,Molde,Tromsø,Rosenborg,Ole Gunnar Solskjær
2012.0,Tippeligaen,Molde,Strømsgodset,Rosenborg,Ole Gunnar Solskjær
2013.0,Tippeligaen,Strømsgodset,Rosenborg,Haugesund,Ronny Deila
