unnamed: 0,date,opponents,h / a,result,attendance
1.0,29 August,Doncaster Knights,H,W,2232.0
2.0,5 September,London Welsh,H,W,2047.0
3.0,11 September,Moseley,A,D,751.0
4.0,19 September,Birmingham & Solihull,H,W,1672.0
5.0,26 September,Bristol,A,L,4379.0
6.0,3 October,Plymouth Albion,H,W,2439.0
7.0,9 October,Bedford,A,L,3243.0
8.0,17 October,Rotherham Titans,H,W,1982.0
9.0,22 October,Worcester Warriors,A,W,6928.0
10.0,31 October,Esher,H,W,1767.0
11.0,7 November,Nottingham,A,W,1637.0
12.0,14 November,London Welsh,A,L,1250.0
13.0,21 November,Moseley,H,W,1854.0
,28 November,Birmingham & Solihull,A,,
14.0,5 December,Bristol,H,W,2253.0
15.0,15 December,Birmingham & Solihull,A,W,407.0
,26 December,Plymouth Albion,A,,
16.0,2 January,Bedford Blues,H,W,3051.0
17.0,8 January,Rotherham Titans,A,L,1067.0
18.0,12 January,Plymouth Albion,A,W,2512.0
19.0,30 January,Worcester Warriors,H,L,1976.0
20.0,5 February,Esher,A,L,1338.0
21.0,13 February,Nottingham,H,W,2486.0
22.0,19 February,Doncaster Knights,A,W,1091.0
