Name,Club,Position,Years,Current status,International caps
Frank Farina,Sydney FC,FW,,Coaching,67
Warren Spink,,FW,,Retired,38
Robbie Hooker,,DF,1984-85,Coaching,22
Jason Polak,,MF,1985-87,Retired,28
Paul Trimboli,,FW,1986,Media,46
Jason van Blerk,,MF,1986,Coaching,33
Craig Foster,,MF,1986-87,Media,29
Steve Horvat,,DF,1987-88,Retired,32
Ned Zelić,,DF,1988,Media,34
Shaun Murphy,,DF,1988,Retired,27
George Sorras,,FW,1989-90,Retired,27
Alistair Edwards,Australia U-20,FW,1988,Coaching,22
Steve Corica,Sydney FC,MF,,Coaching,32
Kevin Muscat,Melbourne Victory,DF,,Coaching,51
Ante Milicic,Western Sydney Wanderers,FW,,Coaching,6
Goran Lozanovski*,,MF,,Retired,9
Craig Moore*,,DF,,Retired,52
Clint Bolton,Melbourne Heart,GK,,Playing,4
Hayden Foxe,,DF,,Retired,11
Josip Skoko*,,MF,,Coaching,51
John Aloisi*,Melbourne Heart,FW,,Coaching,55
Mark Viduka*,,FW,,Retired,43
Lucas Neill*,Sydney FC,DF,,Playing,89
Josip Šimunić*,Dinamo Zagreb,DF,,Playing,100
Brett Emerton*,Sydney FC,MF,1996,Playing,95
Vince Grella*,,MF,1996,Retired,46
Simon Colosimo,Melbourne Heart,DF,,Playing,26
Anthony Šerić*,Karabukspor,MF,,Playing,16
Mile Sterjovski*,Central Coast Mariners,MF,,Playing,43
Mark Bresciano*,Al-Gharafa,MF,1997,Playing,65
Ivan Ergić*,Free Agent,MF,,Playing,11
Ljubo Miličević,Free Agent,DF,,Playing,8
Luke Wilkshire*,FC Dynamo Moscow,MF,,Playing,74
Joshua Kennedy*,Nagoya Grampus,FW,,Playing,30
Jade North,Brisbane Roar,DF,1999,Playing,39
Nathan Coe,Melbourne Victory,GK,2000-01,Playing,3
Alex Brosque,Al Ain FC,FW,2001,Playing,7
Matt McKay,Changchun Yatai,MF,2001,Playing,33
Carl Valeri*,Sassuolo,MF,,Playing,50
Adam Federici*,Reading,GK,,Playing,8
Mark Milligan*,Melbourne Victory,DF,2002,Playing,19
David Williams,Melbourne Heart,FW,2005,Playing,2
Robbie Kruse,Fortuna Dusseldorf,FW,,Playing,21
Mitchell Langerak,Borussia Dortmund,GK,,Playing,0
Nikita Rukavytsya*,Mainz 05,FW,,Playing,11
Bruce Djite,Adelaide United,FW,2006,Playing,9
Dario Vidošić*,Adelaide United,MF,2006,Playing,14
Matthew Špiranović,Western Sydney Wanderers,DF,2006,Playing,16
Nathan Burns,Newcastle Jets,MF,2006,Playing,7
James Holland,Austria Wien,MF,,Playing,9
Apostolos Giannou,Platanias,FW,2007,Playing,0
Luke De Vere,Gyeongnam,DF,2007-08,Playing,0
Mustafa Amini,Borussia Dortmund,MF,2009,Playing,0
Terry Antonis,Sydney FC,MF,2009,Playing,0
Kerem Bulut,Akhisar Belediyespor,FW,2009,Playing,0
