Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Winner,1.0,9 May 2010,"Estoril Open, Estoril, Portugal",Clay,Marc Lopez,Pablo Cuevas  Marcel Granollers,
Winner,2.0,25 July 2010,"International German Open, Hamburg, Germany",Clay,Marc Lopez,Jeremy Chardy  Paul-Henri Mathieu,
Runner-up,1.0,1 May 2011,"Estoril Open, Estoril, Portugal",Clay,Marc Lopez,Eric Butorac  Jean-Julien Rojer,
Runner-up,2.0,21 May 2011,"Open de Nice Cote d'Azur, Nice, France",Clay,Santiago Gonzalez,Eric Butorac  Jean-Julien Rojer,
Runner-up,3.0,24 September 2011,"BRD Năstase Țiriac Trophy, Bucharest, Romania",Clay,Julian Knowle,Daniele Bracciali  Potito Starace,
Runner-up,4.0,23 October 2011,"Kremlin Cup, Moscow, Russia",Hard (i),Carlos Berlocq,František Čermák  Filip Polášek,
Winner,3.0,25 February 2012,"Copa Claro, Buenos Aires, Argentina",Clay,Fernando Verdasco,Michal Mertiňák  Andre Sá,
Winner,4.0,4 March 2012,"Abierto Mexicano TELCEL, Acapulco, Mexico",Clay,Fernando Verdasco,Marcel Granollers  Marc Lopez,
Runner-up,5.0,6 May 2012,"Estoril Open, Estoril, Portugal",Clay,Julian Knowle,Aisam-ul-Haq Qureshi  Jean-Julien Rojer,
Winner,5.0,14 July 2012,"ATP Vegeta Croatia Open Umag, Umag, Croatia",Clay,Fernando Verdasco,Marcel Granollers  Marc Lopez,
Winner,6.0,22 July 2012,"International German Open, Hamburg, Germany",Clay,Fernando Verdasco,Rogerio Dutra da Silva  Daniel Munoz de la Nava,
Runner-up,6.0,28 October 2012,"Valencia Open 500, Valencia, Spain",Hard (i),Fernando Verdasco,Alexander Peya  Bruno Soares,
Winner,7.0,2 March 2013,"Abierto Mexicano Telcel, Acapulco, Mexico",Clay,Łukasz Kubot,Simone Bolelli  Fabio Fognini,
Winner,8.0,27 July 2013,"ATP Vegeta Croatia Open Umag, Umag, Croatia",Clay,Martin Kližan,Nicholas Monroe  Simon Stadler,
Winner,9.0,22 September 2013,"St. Petersburg Open, St. Petersburg, Russia",Hard (i),Fernando Verdasco,Dominic Inglot  Denis Istomin,
Runner-up,7.0,13 October 2013,"Shanghai Rolex Masters, Shanghai, China",Hard,Fernando Verdasco,Ivan Dodig  Marcelo Melo,
Winner,10.0,11 November 2013,"ATP World Tour Finals, London, United Kingdom",Hard (i),Fernando Verdasco,Bob Bryan  Mike Bryan,"7-5, 6-7(3-7), [10-7]"
Runner-up,8.0,23 February 2014,"Rio Open, Rio de Janeiro, Brazil",Clay,Marcelo Melo,Juan Sebastián Cabal  Robert Farah,"4-6, 2-6"
