rank,representative,party,district,seniority date,notes
1.0,John Dingell,D,MI-15,"December 13, 1955",Dean of the House
2.0,John Conyers,D,MI-14,"January 3, 1965",Chair of the Judiciary Committee Dean of the Congressional Black Caucus
3.0,Dave Obey,D,WI-7,"April 1, 1969",Chair of the Appropriations Committee
4.0,Charles B. Rangel,D,NY-15,"January 3, 1971",Chair of the Ways and Means Committee
5.0,Bill Young,R,FL-10,"January 3, 1971",
6.0,Ralph Regula,R,OH-16,"January 3, 1973",Left the House in 2009
7.0,Pete Stark,D,CA-13,"January 3, 1973",
8.0,Don Young,R,AK,"March 6, 1973",Ranking member of the Natural Resources Committee
9.0,John Murtha,D,PA-12,"February 5, 1974",
10.0,George Miller,D,CA-07,"January 3, 1975",Chair of the Education and Labor Committee
11.0,James Oberstar,D,MN-8,"January 3, 1975",Chair of the Transportation and Infrastructure Committee
12.0,Henry Waxman,D,CA-30,"January 3, 1975",Chair of the Energy and Commerce Committee
13.0,Ed Markey,D,MA-07,"November 2, 1976",Chair of the Select Committee on Energy Independence and Global Warming
14.0,Norm Dicks,D,WA-6,"January 3, 1977",
15.0,Dale Kildee,D,MI-05,"January 3, 1977",
16.0,Nick Rahall,D,WV-3,"January 3, 1977",Chair of the Natural Resources Committee
17.0,Ike Skelton,D,MO-4,"January 3, 1977",Chair of the Armed Services Committee
18.0,Jerry Lewis,R,CA-41,"January 3, 1979",Ranking member of the Appropriations Committee
19.0,James Sensenbrenner,R,WI-5,"January 3, 1979",Ranking member of the Select Committee on Energy Independence and Global Warming
20.0,Tom Petri,R,WI-6,"April 3, 1979",
21.0,David Dreier,R,CA-26,"January 3, 1981",Ranking member of the Rules Committee
22.0,Barney Frank,D,MA-04,"January 3, 1981",Chair of the Financial Services Committee
23.0,Ralph Hall,R,TX-04,"January 3, 1981",Ranking member of the Science and Technology Committee
24.0,Duncan Hunter,R,CA-52,"January 3, 1981",Ranking member of the Armed Services Committee Left the House in 2009
25.0,Tom Lantos,D,CA-12,"January 3, 1981","Died February 11, 2008"
26.0,Hal Rogers,R,KY-5,"January 3, 1981",
27.0,Christopher Smith,R,NJ-04,"January 3, 1981",
28.0,Frank Wolf,R,VA-10,"January 3, 1981",
29.0,Steny Hoyer,D,MD-5,"May 19, 1981",Majority Leader
30.0,Howard Berman,D,CA-28,"January 3, 1983",Chair of the Foreign Affairs Committee
31.0,Rick Boucher,D,VA-09,"January 3, 1983",
32.0,Dan Burton,R,IN-5,"January 3, 1983",
33.0,Marcy Kaptur,D,OH-09,"January 3, 1983",Senior Woman in the US House of Representatives
34.0,Sander Levin,D,MI-12,"January 3, 1983",
35.0,Alan Mollohan,D,WV-1,"January 3, 1983",
36.0,Solomon Ortiz,D,TX-27,"January 3, 1983",Dean of the Congressional Hispanic Caucus
37.0,John Spratt,D,SC-5,"January 3, 1983",Chair of the Budget Committee
38.0,Ed Towns,D,NY-10,"January 3, 1983",Chair of the Oversight and Government Reform Committee
39.0,Gary Ackerman,D,NY-05,"March 1, 1983",
40.0,Jim Saxton,R,NJ-03,"November 6, 1984",Left the House in 2009
41.0,Joe Barton,R,TX-06,"January 3, 1985",Ranking member of the Energy and Commerce Committee
42.0,Howard Coble,R,NC-06,"January 3, 1985",
43.0,Bart Gordon,D,TN-6,"January 3, 1985",Chair of the Science and Technology Committee
44.0,Paul Kanjorski,D,PA-11,"January 3, 1985",
45.0,Peter Visclosky,D,IN-1,"January 3, 1985",
46.0,Richard Baker,R,LA-6,"January 3, 1987","Resigned February 2, 2008"
47.0,Peter DeFazio,D,OR-4,"January 3, 1987",
48.0,Elton Gallegly,R,CA-24,"January 3, 1987",
49.0,Dennis Hastert,R,IL-14,"January 3, 1987","Resigned November 26, 2007"
50.0,Wally Herger,R,CA-02,"January 3, 1987",
51.0,John Lewis,D,GA-05,"January 3, 1987",
52.0,Louise Slaughter,D,NY-28,"January 3, 1987",Chair of the Rules Committee
53.0,Lamar Smith,R,TX-21,"January 3, 1987",Ranking member of the Judiciary Committee
54.0,Fred Upton,R,MI-06,"January 3, 1987",
55.0,Nancy Pelosi,D,CA-08,"June 2, 1987",Speaker
56.0,Chris Shays,R,CT-4,"August 18, 1987",Left the House in 2009.
57.0,Jim McCrery,R,LA-4,"April 16, 1988",Ranking member of the Ways and Means Committee Left the House in 2009
58.0,Jerry Costello,D,IL-12,"August 9, 1988",
59.0,John Duncan,R,TN-2,"November 8, 1988",
60.0,Frank Pallone,D,NJ-06,"November 8, 1988",
61.0,Eliot Engel,D,NY-17,"January 3, 1989",
62.0,Paul Gillmor,R,OH-05,"January 3, 1989","Died September 7, 2007"
63.0,Nita Lowey,D,NY-18,"January 3, 1989",
64.0,Jim McDermott,D,WA-7,"January 3, 1989",
65.0,Mike McNulty,D,NY-21,"January 3, 1989",Left the House in 2009
66.0,Richard Neal,D,MA-02,"January 3, 1989",
67.0,Donald Payne,D,NJ-10,"January 3, 1989",
68.0,Dana Rohrabacher,R,CA-46,"January 3, 1989",
69.0,Cliff Stearns,R,FL-06,"January 3, 1989",
70.0,John Tanner,D,TN-8,"January 3, 1989",
71.0,James Walsh,R,NY-25,"January 3, 1989",Left the House in 2009
72.0,Ileana Ros-Lehtinen,R,FL-18,"August 29, 1989",Ranking member of the Foreign Affairs Committee The most senior Republican woman in the United States House of Representatives
73.0,Gene Taylor,D,MS-4,"October 17, 1989",
74.0,Jose Serrano,D,NY-16,"March 20, 1990",
75.0,Rob Andrews,D,NJ-01,"November 6, 1990",
76.0,Neil Abercrombie,D,HI-1,"January 3, 1991",Previously served from September 1986 to January 1987
77.0,John Boehner,R,OH-08,"January 3, 1991",Minority Leader
78.0,Dave Camp,R,MI-04,"January 3, 1991",
79.0,Bud Cramer,D,AL-5 Left the House in 2009,"January 3, 1991",
80.0,Rosa DeLauro,D,CT-3,"January 3, 1991",
81.0,John T. Doolittle,R,CA-04,"January 3, 1991",Left the House in 2009
82.0,Chet Edwards,D,TX-17,"January 3, 1991",
83.0,Wayne Gilchrest,R,MD-1,"January 3, 1991",Left the House in 2009
84.0,David Hobson,R,OH-07,"January 3, 1991",Left the House in 2009
85.0,William Jefferson,D,LA-2,"January 3, 1991",Left the House in 2009
86.0,Jim Moran,D,VA-08,"January 3, 1991",
87.0,Collin Peterson,D,MN-7,"January 3, 1991",
88.0,Jim Ramstad,R,MN-3,"January 3, 1991",Left the House in 2009
89.0,Maxine Waters,D,CA-35,"January 3, 1991",
90.0,Sam Johnson,R,TX-03,"January 3, 1991","May 18, 1991"
91.0,John Olver,D,MA-01,"June 4, 1991",
92.0,Ed Pastor,D,AZ-4,"September 24, 1991",
93.0,Jerrold Nadler,D,NY-08,"November 3, 1992",
94.0,Spencer Bachus,R,AL-6,"January 3, 1993",Ranking member of the Financial Services Committee
95.0,Roscoe Bartlett,R,MD-6,"January 3, 1993",
96.0,Xavier Becerra,D,CA-31,"January 3, 1993",
97.0,Sanford Bishop,D,GA-02,"January 3, 1993",
98.0,Corrine Brown,D,FL-03,"January 3, 1993",
99.0,Steve Buyer,R,IN-4,"January 3, 1993",Ranking member of the Veterans' Affairs Committee
100.0,Ken Calvert,R,CA-44,"January 3, 1993",
101.0,Michael N. Castle,R,DE,"January 3, 1993",
102.0,Jim Clyburn,D,SC-6,"January 3, 1993",Majority Whip
103.0,Nathan Deal,R,GA-09,"January 3, 1993",
104.0,Lincoln Diaz-Balart,R,FL-21,"January 3, 1993",
105.0,Anna Eshoo,D,CA-14,"January 3, 1993",
106.0,Terry Everett,R,AL-2,"January 3, 1993",Left the House in 2009
107.0,Bob Filner,D,CA-51,"January 3, 1993",Chair of the Veterans' Affairs Committee
108.0,Bob Goodlatte,R,VA-06,"January 3, 1993",Ranking member of the Agriculture Committee
109.0,Gene Green,D,TX-29,"January 3, 1993",
110.0,Luis Gutierrez,D,IL-04,"January 3, 1993",
111.0,Alcee Hastings,D,FL-23,"January 3, 1993",
112.0,Maurice Hinchey,D,NY-22,"January 3, 1993",
113.0,Pete Hoekstra,R,MI-02,"January 3, 1993",Ranking member of the Intelligence Committee
114.0,Tim Holden,D,PA-17,"January 3, 1993",
115.0,Eddie Bernice Johnson,D,TX-30,"January 3, 1993",
116.0,Peter King,R,NY-03,"January 3, 1993",Ranking member of the Homeland Security Committee
117.0,Jack Kingston,R,GA-01,"January 3, 1993",
118.0,Joe Knollenberg,R,MI-09,"January 3, 1993",Left the House in 2009.
119.0,John Linder,R,GA-07,"January 3, 1993",
120.0,Carolyn Maloney,D,NY-14,"January 3, 1993",
121.0,Donald Manzullo,R,IL-16,"January 3, 1993",
122.0,John McHugh,R,NY-23,"January 3, 1993",
123.0,Buck McKeon,R,CA-25,"January 3, 1993",Ranking member of the Education and Labor Committee
124.0,Marty Meehan,D,MA-05,"January 3, 1993","Resigned July 1, 2007"
125.0,John Mica,R,FL-07,"January 3, 1993",Ranking member of the Transportation and Infrastructure Committee
126.0,Earl Pomeroy,D,ND,"January 3, 1993",
127.0,Deborah Pryce,R,OH-15,"January 3, 1993",Left the House in 2009
128.0,Lucille Roybal-Allard,D,CA-34,"January 3, 1993",
129.0,Ed Royce,R,CA-40,"January 3, 1993",
130.0,Bobby Rush,D,IL-01,"January 3, 1993",
131.0,Bobby Scott,D,VA-03,"January 3, 1993",
132.0,Bart Stupak,D,MI-01,"January 3, 1993",
133.0,Nydia Velázquez,D,NY-12,"January 3, 1993",Chair of the Small Business Committee
134.0,Mel Watt,D,NC-12,"January 3, 1993",
135.0,Lynn Woolsey,D,CA-06,"January 3, 1993",
136.0,Albert Wynn,D,MD-4,"January 3, 1993","Resigned May 31, 2008"
137.0,Bennie Thompson,D,MS-2,"April 13, 1993",Chair of the Homeland Security Committee
138.0,Sam Farr,D,CA-17,"June 8, 1993",
139.0,Vern Ehlers,R,MI-03,"December 7, 1993",Ranking member of the House Administration Committee
140.0,Frank Lucas,R,OK-3,"May 10, 1994",
141.0,Ron Lewis,R,KY-2,"May 24, 1994",Left the House in 2009
