name,rank 2000,number,country of origin,england 2001
Smith,1,2376207,"England, Scotland",Smith
Johnson,2,1857160,England,Jones
Williams,3,1534042,"England, Wales",Taylor
Brown,4,1380145,"England, Ireland, Scotland",Brown
Jones,5,1362755,"England, Wales",Williams
Miller,6,1127803,"England, Ireland, or Scotland (Miller can be the anglicized version of Mueller/Muller - a surname from Germany)",Wilson
Davis,7,1072335,"England, Wales",Johnson
Garcia,8,858289,Spain,Davies
Rodriguez,9,804240,Spain,Robinson
Wilson,10,783051,"England, Scotland",Wright
