Year,Winner,Runner-Up,Final score,Third
1992,Budivelnyk,NKI Mykolaiv,Round-robin,Spartak Lugansk
1993,Budivelnyk,SKA Kyiv,Round-robin,NKI Mykolaiv
1994,Budivelnyk,Kyiv-Basket,,Bipa-Moda Odesa
1995,Budivelnyk,Kyiv-Basket,,Shakhtar-ASKO Donetsk
1996,Budivelnyk,Shakhtar Donetsk,Round-robin,Kyiv-Basket
1997,Budivelnyk,BIPA-Moda Odesa,,Kyiv-Basket
1998,BIPA-Moda Odesa,Budivelnyk,,SC Mykolaiv
1999,BIPA-Moda Odesa,CSKA-RIKO Kyiv,,Budivelnyk
2000,Kyiv,MBC Odesa,,CSKA-Ukrtatnafta Kyiv
2001,MBC Odesa,Kyiv,,Azovmash
2002,MBC Odesa,Kyiv,,Azovmash
2003,Azovmash,MBC Odesa,,Kyiv
2004,Azovmash,Kyiv,,MBC Odesa
2005,Kyiv,Azovmash,,Khimik
2006,Azovmash,Kyiv,,Khimik
2007,Azovmash,Kyiv,,Khimik
2008,Azovmash,Kyiv,,Khimik
2009,Azovmash,Donetsk,,Khimik
2010,Azovmash,Budivelnyk,,Ferro-ZNTU
2011,Budivelnyk,Donetsk,,Hoverla
2012,Donetsk,Azovmash,,Ferro-ZNTU
2013,Budivelnyk,Azovmash,,Ferro-ZNTU
