Date,Time,Opponentnum,Ranknum,Site,TV,Result,Attendance
September 3,6:00 PM,Missouri State*,#15,"Donald W. Reynolds Razorback Stadium • Fayetteville, AR",PPV,,70607
September 10,6:00 PM,New Mexico*,#14,"War Memorial Stadium • Little Rock, AR",ESPNU,,52606
September 17,6:30 PM,Troy*,#14,"Donald W. Reynolds Razorback Stadium • Fayetteville, AR",CSS,,69861
September 24,2:30 PM,at #3 Alabama,#14,,CBS,,101821
October 1,11:00 AM,vs. #14 Texas A&M*,#18,"Cowboys Stadium • Arlington, TX (Southwest Classic)",ESPN,,69838
October 8,6:00 PM,#15 Auburn,#10,"Donald W. Reynolds Razorback Stadium • Fayetteville, AR",ESPN,,74191
October 22,11:21 AM,at Ole Miss,#10,,SECN,,57951
October 29,11:21 AM,at Vanderbilt,#8,"Vanderbilt Stadium • Nashville, TN",SECN,,33247
November 5,6:15 PM,#10 South Carolina,#8,"Donald W. Reynolds Razorback Stadium • Fayetteville, AR",ESPN,,73804
November 12,5:00 PM,Tennessee,#8,"Donald W. Reynolds Razorback Stadium • Fayetteville, AR",ESPN2,,72103
November 19,2:30 PM,Mississippi State,#6,"War Memorial Stadium • Little Rock, AR",CBS,,55761
November 25,1:30 PM,at #1 LSU,#3,"Tiger Stadium • Baton Rouge, LA (Battle for the Golden Boot)",CBS,,93108
January 6,7:00 PM,vs. #11 Kansas State*,#7,"Cowboys Stadium • Arlington, TX (Cotton Bowl Classic)",FOX,,80956
