Canal,Length (miles),Locks,Max length (ft),Width (ft),Year opened,Year abandoned,Year restored
Aberdeenshire Canal,18.0,18.0,,,1805.0,1854.0,
Buchan Canal,,,,,,,
Caledonian Canal,62.0,29.0,150.0,35.0,1822.0,,
Crinan Canal,9.0,15.0,86.75,19.65,1817.0,,
Dingwall Canal,1.1,0.0,,,1816.0,1840.0,
Forth and Clyde Canal,35.0,38.0,68.58,19.75,1790.0,1963.0,2002.0
"Glasgow, Paisley and Johnstone Canal",11.0,0.0,,,1811.0,1881.0,
Monkland Canal,12.25,18.0,71.0,14.0,1794.0,1942.0,
Stevenston Canal,2.25,0.0,,13.0,1772.0,1830.0,
Union Canal,31.5,3.0,63.0,12.5,1822.0,1930.0,2000.0
