Unnamed: 0,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1900,18 520,627 848,536 716,91 132,33.9,29.0,4.9,
1901,18 610,650 649,517 575,133 074,35.0,27.8,7.1,
1902,18 720,666 687,488 289,178 398,35.6,26.1,9.6,
1903,18 810,685 265,470 387,214 878,36.4,25.0,11.4,
1904,18 980,649 878,486 889,162 989,34.2,25.7,8.6,
1905,19 110,670 651,491 369,179 282,35.1,25.7,9.4,
1906,19 250,650 385,499 018,151 367,33.8,25.9,7.8,
1907,19 380,646 371,472 007,174 364,33.3,24.4,9.0,
1908,19 530,658 008,460 946,197 062,33.7,23.6,10.1,
1909,19 670,650 498,466 648,183 850,33.1,23.7,9.3,
1910,19 770,646 975,456 158,190 817,32.7,23.1,9.7,
1911,19 950,628 443,466 525,161 918,31.5,23.4,8.1,
1912,20 040,637 860,426 297,211 563,31.8,21.3,10.6,
1913,20 170,617 850,449 349,168 501,30.6,22.3,8.4,
1914,20 310,608 207,450 340,157 867,29.9,22.2,7.8,
1915,20 430,631 462,452 479,178 983,30.9,22.1,8.8,
1916,20 610,599 011,441 673,157 338,29.1,21.4,7.6,
1917,20 740,602 139,465 722,136 417,29.0,22.5,6.6,
1918,20 910,612 637,695 758,-83 121,29.3,33.3,-4.0,
1919,21 000,585 963,482 752,103 211,27.9,23.0,4.9,
1920,21 130,623 339,494 540,128 799,29.5,23.4,6.1,
1921,21 270,648 892,455 469,193 423,30.5,21.4,9.1,
1922,21 510,656 093,441 330,214 763,30.5,20.5,10.0,402
1923,21 740,662 576,449 683,212 893,30.5,20.7,9.8,402
1924,21 990,653 085,430 590,222 495,29.7,19.6,10.1,392
1925,22 160,644 741,432 400,212 341,29.1,19.5,9.6,382
1926,22 400,663 401,420 838,242 563,29.6,18.8,10.8,387
1927,22 610,636 028,419 816,216 212,28.1,18.6,9.6,370
1928,22 860,666 240,413 002,253 238,29.1,18.1,11.1,380
1929,23 120,653 668,407 486,246 182,28.3,17.6,10.7,369
1930,23 340,660 860,394 488,266 372,28.3,16.9,11.4,368
1931,23 510,649 276,408 977,240 299,27.6,17.4,10.2,358
1932,23 897,670 670,388 900,281 770,28.3,16.5,11.8,364
1933,24 122,667 866,394 750,273 116,27.9,16.5,11.4,359
1934,24 349,641 889,392 793,249 096,26.4,16.1,10.2,338
1935,24 578,636 725,388 757,247 968,25.9,15.8,10.1,331
1936,24 810,617 220,417 108,200 112,24.9,16.8,8.1,318
1937,25 043,568 977,475 310,93 667,22.7,19.0,3.7,289
1938,25 279,508 726,487 546,21 180,20.1,19.3,0.8,256
1939,25 517,422 345,472 611,-50 266,16.6,18.5,-2.0,212
1940,25 757,631 285,428 416,202 869,24.5,16.6,7.9,309
1941,25 999,511 157,487 748,23 409,19.7,18.8,0.9,247
1942,26 244,530 845,387 844,143 001,20.2,14.8,5.4,253
1943,26 491,606 971,352 587,254 384,22.9,13.3,9.6,288
1944,26 620,602 091,349 114,253 796,22.6,13.1,9.5,284
1945,26 770,621 558,330 581,290 977,23.2,12.3,10.9,291
1946,27 030,585 381,353 371,232 010,21.7,13.1,8.6,270
1947,27 150,588 732,330 341,258 391,21.7,12.2,9.5,267
1948,27 593,642 041,305 310,336 731,23.3,11.1,12.2,288
1949,27 811,601 759,321 541,280 218,21.6,11.6,10.1,268
1950,28 009,565 378,305 934,259 444,20.2,10.9,9.3,248
1951,28 236,567 474,327 236,240 238,20.1,11.6,8.5,247
1952,28 474,593 019,276 735,316 284,20.8,9.7,11.1,256
1953,28 713,589 188,278 522,310 666,20.5,9.7,10.8,255
1954,28 955,577 886,264 668,313 218,20.0,9.1,10.8,250
1955,29 199,598 970,274 188,324 782,20.5,9.4,11.1,258
1956,29 445,608 121,290 410,317 711,20.7,9.9,10.8,261
1957,29 693,646 784,293 502,353 282,21.8,9.9,11.9,277
1958,29 943,653 216,260 683,392 533,21.8,8.7,13.1,280
1959,30 195,654 474,269 591,384 883,21.7,8.9,12.7,279
1960,30 455,663 375,268 941,394 434,21.8,8.8,13.0,277
1961,30 744,654 616,263 441,391 175,21.3,8.6,12.7,275
1962,31 067,658 816,278 575,380 241,21.2,9.0,12.2,279
1963,31 393,671 520,282 460,389 060,21.4,9.0,12.4,287
1964,31 723,697 697,273 955,423 742,22.0,8.6,13.4,301
1965,32 056,676 361,274 271,402 090,21.1,8.6,12.5,294
1966,32 394,669 919,276 173,393 746,20.7,8.5,12.2,293
1967,32 734,680 125,280 494,399 631,20.8,8.6,12.2,298
1968,33 079,667 311,282 628,384 683,20.2,8.5,11.6,292
1969,33 427,666 568,303 402,363 166,19.9,9.1,10.9,291
1970,33 779,663 667,286 067,377 600,19.6,8.5,11.2,288
1971,34 216,672 092,308 516,363 576,19.7,9.0,10.6,288
1972,34 572,672 405,285 508,386 897,19.5,8.3,11.2,286
