date,name,moving from,moving to,fee
3 March 2009,Silvestre Varela,Estrela da Amadora,Porto,Free
14 April 2009,Mario Rondon,Pontassolense,Nacional,Free
18 April 2009,Patric,São Caetano,Benfica,Undisclosed Fee
23 April 2009,Orlando Sá,Braga,Porto,Undisclosed Fee
8 May 2009,Kamani Hill,Wolfsburg,Vitoria de Guimarães,Free
16 May 2009,Manuel Jose,Cluj,Paços de Ferreira,Free
17 May 2009,Jorge Gonçalves,Racing de Santander,Vitoria de Guimarães,Loan
22 May 2009,Ramires,Cruzeiro,Benfica,"  7,500,000"
26 May 2009,Luis Aguiar,Braga,Dynamo Moscow,Undisclosed Fee
26 May 2009,Jonathan Bru,AEP Paphos,Academica de Coimbra,Free
29 May 2009,Peterson Peçanha,Thrasyvoulos,Maritimo,Free
30 May 2009,Maicon,Nacional,Porto,"  2,000,000"
31 May 2009,David Mendieta,12 de Octubre,Vitoria de Guimarães,Undisclosed Fee
1 June 2009,Boris Peškovič,Academica de Coimbra,Cluj,Free
4 June 2009,Álvaro Pereira,Cluj,Porto,"  4,500,000"
6 June 2009,Anselmo,Estrela da Amadora,Nacional,Free
9 June 2009,Jose Shaffer,Racing,Benfica,"  1,900,000"
11 June 2009,Nuno Piloto,Academica de Coimbra,Iraklis,Free
11 June 2009,Paulo Jorge,Braga,APOEL,Undisclosed Fee
15 June 2009,Gustavo Lazzaretti,Atletico Paranaense,Vitoria de Guimarães,Loan
16 June 2009,Janicio,Vitoria de Setúbal,Anorthosis,Free
17 June 2009,Jorge Gonçalves,Racing de Santander,Vitoria de Guimarães,Loan
17 June 2009,Beto,Leixões,Porto,Undisclosed Fee
18 June 2009,Angelo Pena,Estudiantes de Merida,Braga,Undisclosed Fee
19 June 2009,Nenê,Nacional,Cagliari,"  4,500,000"
21 June 2009,Filipe Mendes,Estrela da Amadora,Paços de Ferreira,Free
23 June 2009,Kostas Katsouranis,Benfica,Panathinaikos,"  2,500,000"
23 June 2009,Gregory,Vitoria de Guimarães,Sporting Gijon,Free
23 June 2009,João Tomás,Boavista,Rio Ave,Free
23 June 2009,Fernando Alexandre,Estrela da Amadora,Braga,Free
25 June 2009,Alex,Wolfsburg,Vitoria de Guimarães,Free
25 June 2009,Ney Santos,Estrela da Amadora,Braga,Free
26 June 2009,Chico Silva,Paços de Ferreira,Oliveirense,Free
26 June 2009,Brayan Angulo,Leixões,Deportivo La Coruna,"  100,000"
29 June 2009,Javier Saviola,Real Madrid,Benfica,"  5,000,000"
29 June 2009,Miguel Lopes,Rio Ave,Porto,"  600,000"
30 June 2009,Lucho González,Porto,Marseille,"  18,000,000"
1 July 2009,Nejc Pečnik,Celje,Nacional,Undisclosed Fee
1 July 2009,Diogo Valente,Porto,Braga,Free
1 July 2009,Matias Fernández,Villarreal,Sporting CP,"  3,635,000"
2 July 2009,Rodrigo Possebon,Manchester United,Braga,Loan
2 July 2009,Tarik Sektioui,Porto,Ajman Club,Free
3 July 2009,Paulo Machado,Porto,Toulouse,"  3,500,000"
3 July 2009,Emidio Rafael,Portimonense,Academica de Coimbra,Free
3 July 2009,Bruno Amaro,Nacional,Academica de Coimbra,Loan
4 July 2009,Jean Paul Yontcha,Otopeni,Belenenses,Free
4 July 2009,Kevin Amuneke,Politehnica Timişoara,Porto,Free
4 July 2009,Stelvio,Braga,União de Leiria,Loan
4 July 2009,Diego Gaúcho,Gil Vicente,União de Leiria,Free
6 July 2009,Kiko,Paços de Ferreira,Gil Vicente,Loan
6 July 2009,Fernando Belluschi,Olympiacos,Porto,"  5,000,000"
7 July 2009,Luiz Carlos,União de Leiria,South China,Loan
7 July 2009,Ladji Keita,AEP Paphos,Vitoria de Setúbal,Free
7 July 2009,Lisandro Lopez,Porto,Lyon,"  24,000,000"
8 July 2009,Diogo Viana,Porto,VVV-Venlo,Loan
8 July 2009,Cristian Trombetta,Nueva Chicago,Leixões,Free
8 July 2009,Cauê,Santo Andre,Leixões,Free
8 July 2009,João Pedro,União de Leiria,Oliveirense,Free
10 July 2009,Filipe da Costa,Levski Sofia,Nacional,Free
10 July 2009,Paulão,Porto,Rio Ave,Free
10 July 2009,Saulo,Belenenses,Celta Vigo,Free
11 July 2009,Vukašin Dević,Red Star Belgrade,Belenenses,Free
11 July 2009,Vieirinha,Porto,PAOK,"  1,000,000"
12 July 2009,Alan,Comercial,Vitoria de Setúbal,Free
12 July 2009,Romeu Ribeiro,Benfica,Trofense,Loan
13 July 2009,Fernando Ávalos,Belenenses,Nea Salamis,Free
13 July 2009,João Fajardo,Vitoria de Guimarães,Panthrakikos,Free
14 July 2009,Vitor Vinha,Academica de Coimbra,Nea Salamis,Loan
