title,year,artists,album,writers,producers
"\Cheat on you\""""",2008,Kaye Styles ft. Black Cherry,Main Event,"Andras Vleminckx, Kaye Styles",Andras Vleminckx
"\Dance Bailalo\""""",2009,Kat Deluna,',"Kat Deluna, Andras Vleminckx, Tasleema Yasin",Andras Vleminckx
"\Dancing Tonight\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Jerome Riouffreyt, Sebastian LaMar Jones, Dallas Diamond","Andras Vleminckx, Jerome Riouffreyt"
"\Lucky Day (song)\""""",2011,Nicola Roberts,Cinderella's Eyes,"Martina Sorbara, Dragonette, Nicola Roberts, Andras Vleminckx, Jerome Riouffreyt","Andras Vleminckx, Jerome Riouffreyt"
"\Positive\""""",2011,Taio Cruz,',"Taio Cruz, Andras Vleminckx, Jerome Riouffreyt","Andras Vleminckx, Jerome Riouffreyt"
"\LoveLife (Kate Ryan song)\""""",2010,Kate Ryan,Electroshock (Kate Ryan album),"Wolfgang Schrödl, Paul Drew, Greig Watts, Pete Barringer, Georgie Dennis","Anders Hansson, Felix Persson, Märta Grauers, Andras Vleminckx, Jerome Riouffreyt)"
"\Broken (Kate Ryan song)\""""",2010,Kate Ryan,Electroshock (Kate Ryan album),"Anders Hansson, Kate Ryan, Negin Djafari, Bernard Ansong","Anders Hansson, Felix Persson, Märta Grauers, Andras Vleminckx, Jerome Riouffreyt)"
"\Give me more\""""",2012,Tara McDonald,I like this beat,"Tara McDonald, Luciana Caporaso, Andras Vleminckx, Jerome Riouffreyt, Nick Clow, Maegan Cottone","Andras Vleminckx, Jerome Riouffreyt,"
"\Drop It Low (Kat DeLuna song)\""""",2011,Kat Deluna ft Fatman Scoop,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx",Andras Vleminckx
"\8 days a week\""""",2012,Jean-Roch ft Timati,Music saved my life,"Jean-Roch, Timati, Andras Vleminckx, Jerome Riouffreyt, Maegan Cottone","Andras Vleminckx, Jerome Riouffreyt"
"\Can U Feel It\""""",2012,Jean-Roch ft Tara McDonald,Music saved my life,"Jean-Roch, Tara McDonald, Bill Conti, Andras Vleminckx, Jerome Riouffreyt, Maegan Cottone","Andras Vleminckx, Jerome Riouffreyt"
"\Be there\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid, Heather Bright",Andras Vleminckx
"\Be there (ballad version)\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid, Heather Bright",Andras Vleminckx
"\One foot out of the door\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid,",Andras Vleminckx
"\Muevete Muevete (ola ola)\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx",Andras Vleminckx
"\Hollywood\""""",2013,Mitchell Niemeyer,',"Andras Vleminckx, Jerome Riouffreyt, Jonathan Mendelsohn","Andras Vleminckx, Jerome Riouffreyt"
"\RIOT\""""",2013,Nicolaz ft. Angelika Vee,',"Andras Vleminckx, Jerome Riouffreyt, Fabian Lenssen, Angelika Vee","Andras Vleminckx, Jerome Riouffreyt, Fabian Lenssen"
"\Papaoutai (NICOLAZ official REMIX)\""""",2013,Stromae,"\Papaoutai - EP\""""","Andras Vleminckx, Jerome Riouffreyt","Andras Vleminckx, Jerome Riouffreyt"
"\Move (Deekly & Eightysix official remix)\""""",2013,Little Mix,Move (Remixes) - EP,"Andras Vleminckx, Jerome Riouffreyt","Andras Vleminckx, Jerome Riouffreyt"
"\Move (OVER XPSR official remix)\""""",2013,Little Mix,Move (Remixes) - EP,"Andras Vleminckx, Jerome Riouffreyt","Andras Vleminckx, Jerome Riouffreyt"
