rank,bib,name,country,run 1,rank 1,run 2,rank 2,total,difference
,10,Andrea Rothfuss,Germany,49.38,1.0,50.60,1.0,1:39.98,
,12,Petra Smarzova,Slovakia,52.50,3.0,51.22,2.0,1:43.72,3.74
,11,Karolina Wisniewska,Canada,52.17,2.0,53.36,4.0,1:45.53,5.55
4.0,15,Melania Corradini,Italy,54.72,5.0,52.95,3.0,1:47.67,7.69
5.0,13,Solene Jambaque,France,53.95,4.0,54.68,5.0,1:48.63,8.65
6.0,18,Mariya Papulova,Russia,55.35,6.0,55.96,7.0,1:51.31,11.33
7.0,9,Katja Saarinen,Finland,56.45,7.0,55.07,6.0,1:51.52,11.54
8.0,14,Anna Jochemsen,Netherlands,1:00.09,8.0,57.21,8.0,1:57.30,17.32
9.0,17,Elena Kudyakova,Russia,1:00.65,9.0,1:00.21,9.0,2:00.86,20.88
,16,Ursula Pueyo Marimon,Spain,DNF,,,,,
,8,Danja Haslacher,Austria,DNS,,,,,
