pos,team,total,high,low,average,change
1.0,Honda Motor,13178,3305,402,879,-11.9%
2.0,SC Tottori,12281,2124,401,819,
3.0,NTT West Kumamoto,10394,1378,324,693,
4.0,Ehime FC,9896,1250,348,660,
5.0,Tochigi SC,9723,1141,285,648,-38.2%
6.0,Otsuka Pharmaceuticals,8975,2391,284,598,+18.4%
7.0,YKK FC,8093,2477,198,540,
8.0,Sony Sendai,7817,886,342,521,-52.3%
9.0,Yokogawa FC,7334,1198,240,489,-30.4%
10.0,ALO's Hokuriku,6380,1801,180,425,-12.1%
11.0,Jatco FC,6329,1075,167,422,-36.7%
12.0,Sagawa Express,5365,1054,48,358,
13.0,Denso SC,5344,831,119,356,-17.7%
14.0,Kyoken Kyoto,5262,468,203,351,-9.0%
15.0,Shizuoka Sangyo University,4013,803,101,268,-48.8%
16.0,Kokushikan University,3298,414,54,220,-28.3%
,League total,123682,3305,48,515,-42.8%
