Type,Power [W],Relative cost,Input range [V],Energy storage,Features
Flyback,,1.0,,Mutual Inductors,Isolated form of the buck-boost converter.
Ringing choke converter (RCC),,1.0,,Transformer,Low-cost self-oscillating flyback variant.
Half-forward,,1.2,,Inductor,
Forward,100-200,,,Inductor,Isolated form of buck converter
Resonant forward,,1.0,,Inductor and capacitor,"Single rail input, unregulated output, high efficiency, low EMI."
Push-pull,,1.75,,Inductor,
Half-bridge,,1.9,,Inductor,
Full-bridge,,>2.0,,Inductor,"Very efficient use of transformer, used for highest powers."
"Resonant, zero voltage switched",">1,000",>2.0,,Inductor and capacitor,
Isolated Ćuk,,,,Two capacitors and two inductors,
