num,date,venue,opponent,competition
1,21 December 2004,"Rajamangala Stadium, Bangkok, Thailand",Thailand,Friendly
2,21 December 2004,"Rajamangala Stadium, Bangkok, Thailand",Thailand,Friendly
3,26 March 2005,"Bežigrad Stadium, Ljubljana, Slovenia",Slovenia,Friendly
4,4 June 2005,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,Friendly
5,15 June 2005,"Commerzbank-Arena, Frankfurt, Germany",Australia,FIFA Confederations Cup 2005
6,25 June 2005,"Frankenstadion, Nuremberg, Germany",Brazil,FIFA Confederations Cup 2005
7,29 June 2005,"Zentralstadion, Leipzig, Germany",Mexico,FIFA Confederations Cup 2005
8,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,Friendly
9,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,Friendly
10,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,Friendly
11,27 May 2006,"Badenova Stadion, Freiburg, Germany",Luxembourg,Friendly
12,27 May 2006,"Badenova Stadion, Freiburg, Germany",Luxembourg,Friendly
13,20 June 2006,"Olympiastadion Berlin, Berlin, Germany",Ecuador,FIFA World Cup 2006
14,24 June 2006,"Allianz Arena, Munich, Germany",Sweden,FIFA World Cup 2006
15,24 June 2006,"Allianz Arena, Munich, Germany",Sweden,FIFA World Cup 2006
16,2 September 2006,"Gottlieb Daimler Stadion, Stuttgart, Germany",Republic of Ireland,UEFA Euro 2008 qualifying
17,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,UEFA Euro 2008 qualifying
18,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,UEFA Euro 2008 qualifying
19,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,UEFA Euro 2008 qualifying
20,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,UEFA Euro 2008 qualifying
21,11 October 2006,"Tehelne Pole Stadion, Bratislava, Slovakia",Slovakia,UEFA Euro 2008 qualifying
22,11 October 2006,"Tehelne Pole Stadion, Bratislava, Slovakia",Slovakia,UEFA Euro 2008 qualifying
23,12 September 2007,"Rhein-Energie Stadion, Cologne, Germany",Romania,Friendly
24,17 November 2007,"AWD Arena, Hanover, Germany",Cyprus,UEFA Euro 2008 qualifying
25,26 March 2008,"St. Jakob Park, Basel, Switzerland",Switzerland,Friendly
26,8 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Poland,UEFA Euro 2008
27,8 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Poland,UEFA Euro 2008
28,12 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Croatia,UEFA Euro 2008
29,6 September 2008,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,FIFA World Cup 2010 qualifying
30,6 September 2008,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,FIFA World Cup 2010 qualifying
31,11 October 2008,"Signal Iduna Park, Dortmund, Germany",Russia,FIFA World Cup 2010 qualifying
32,28 March 2009,"Zentralstadion, Leipzig, Germany",Liechtenstein,FIFA World Cup 2010 qualifying
33,29 May 2009,"Shanghai Stadium, Shanghai, China",China PR,Friendly
34,9 September 2009,"AWD-Arena, Hanover, Germany",Azerbaijan,FIFA World Cup 2010 qualifying
35,14 October 2009,"HSH Nordbank Arena, Hamburg, Germany",Finland,FIFA World Cup 2010 qualifying
36,18 November 2009,"Veltins-Arena, Gelsenkirchen, Germany",Ivory Coast,Friendly
37,18 November 2009,"Veltins-Arena, Gelsenkirchen, Germany",Ivory Coast,Friendly
38,29 May 2010,"Stadium Puskás Ferenc, Budapest, Hungary",Hungary,Friendly
39,13 June 2010,"Moses Mabhida Stadium, Durban, South Africa",Australia,FIFA World Cup 2010
40,27 June 2010,"Free State Stadium, Bloemfontein, South Africa",England,FIFA World Cup 2010
41,7 September 2010,"RheinEnergieStadion, Cologne, Germany",Azerbaijan,UEFA Euro 2012 qualifying
42,12 October 2010,"Astana Arena, Astana, Kazakhstan",Kazakhstan,UEFA Euro 2012 qualifying
43,2 September 2011,"Veltins-Arena, Gelsenkirchen, Germany",Austria,UEFA Euro 2012 qualifying
44,17 June 2012,"Arena Lviv, Lviv, Ukraine",Denmark,UEFA Euro 2012
45,29 May 2013,"FAU Stadium, Miami, USA",Ecuador,Friendly
46,29 May 2013,"FAU Stadium, Miami, USA",Ecuador,Friendly
