num,player,sigma points,qual ,final
1,Karel Hromádka (Czechoslovakia),9.5,3.0,6.5
2,Jan Schulz (Czechoslovakia),9.0,4.0,5.0
3,Erwin Voellmy (Switzerland),8.5,3.5,5.0
4,Karl Behting (Latvia),8.0,2.0,6.0
,Georges Renaud (France),8.0,3.0,5.0
,Roberto Grau (Argentina),8.0,3.5,4.5
,George Koltanowski (Belgium),8.0,3.5,4.5
8,Giovanni Cenni (Italy),7.5,1.5,6.0
,Endre Steiner (Hungary),7.5,2.0,5.5
,Otto Zimmermann (Switzerland),7.5,2.5,5.0
,Dawid Daniuszewski (Poland),7.5,2.5,5.0
,Károly Sterk (Hungary),7.5,3.0,4.5
,Damián Reca (Argentina),7.5,3.5,4.0
14-45,etc.,,,
