Election year,num of constituency votes,percentage of constituency votes,+/-,num of party list votes,percentage of party list votes,+/-.1,num of overall seats won
1965,587216,1.8,1.8,664193,2.0,2.0,0 / 518
1969,1189375,3.6,1.8,1422010,4.3,2.3,0 / 518
1972,194389,0.5,3.1,207465,0.6,3.7,0 / 518
1976,136.023,0.4,0.1,122661,0.3,0.3,0 / 518
1980,,,,68096,0.2,0.1,0 / 497
1983,"57,112",0.1,0.3,91095,0.2,0.0,0 / 498
1987,"182,880",0.5,0.4,227054,0.6,0.4,0 / 497
1990,"190,105",0.4,0.1,145776,0.3,0.3,0 / 662
1998,"45,043",0.1,0.3,126571,0.3,0.0,0 / 669
2002,"103,209",0.1,0.1,215232,0.4,0.1,0 / 603
2005,857.777,1.8,1.6,748568,1.6,1.2,0 / 614
2009,"768,442",1.8,0.0,635525,1.5,0.1,0 / 620
2013,"634,842",1.5,0.3,560660,1.3,0.2,0 / 630
