result,encrypted,result 1,encrypted 1,result 2,encrypted 2,result 3,encrypted 3,result 4,encrypted 4
0,57,19,108,38,113,57,91,76.0,79.0
1,109,20,125,39,116,58,37,77.0,65.0
2,60,21,82,40,121,59,92,78.0,49.0
3,46,22,69,41,102,60,51,79.0,67.0
4,84,23,111,42,114,61,100,80.0,66.0
5,86,24,107,43,36,62,76,81.0,54.0
6,97,25,78,44,40,63,43,82.0,118.0
7,99,26,58,45,119,64,81,83.0,94.0
8,96,27,35,46,101,65,59,84.0,61.0
9,117,28,63,47,52,66,62,85.0,73.0
10,89,29,71,48,123,67,85,86.0,95.0
11,42,30,34,49,87,68,33,87.0,48.0
12,77,31,105,50,80,69,112,88.0,47.0
13,75,32,64,51,41,70,74,89.0,56.0
14,39,33,53,52,72,71,83,90.0,124.0
15,88,34,122,53,45,72,55,91.0,106.0
16,126,35,93,54,90,73,50,92.0,115.0
17,120,36,38,55,110,74,70,93.0,98.0
18,68,37,103,56,44,75,104,,
