rank,athlete,nationality,time,notes
,Valeriy Borchin,Russia,1:19:56,
,Vladimir Kanaykin,Russia,1:20:27,
,Luis Fernando Lopez,Colombia,1:20:38,SB
4.0,Wang Zhen,China,1:20:54,
5.0,Stanislav Emelyanov,Russia,1:21:11,
6.0,Kim Hyun-sub,South Korea,1:21:17,
7.0,Ruslan Dmytrenko,Ukraine,1:21:31,SB
8.0,Yusuke Suzuki,Japan,1:21:39,
9.0,Alex Schwazer,Italy,1:21:50,SB
10.0,Erick Barrondo,Guatemala,1:22:08,
11.0,Chu Yafei,China,1:22:10,
12.0,Sergey Morozov,Russia,1:22:37,
13.0,Wang Hao,China,1:22:49,
14.0,Matej Toth,Slovakia,1:22:55,
15.0,Eder Sánchez,Mexico,1:23:05,
16.0,João Vieira,Portugal,1:23:26,
17.0,Miguel Ángel Lopez,Spain,1:23:41,
18.0,Anton Kucmin,Slovakia,1:23:57,
19.0,James Rendon,Colombia,1:24:08,SB
20.0,Horacio Nava,Mexico,1:24:15,
21.0,Christopher Linke,Germany,1:24:17,
22.0,Caio Bonfim,Brazil,1:24:29,
23.0,Trevor Barron,United States,1:24:33,
24.0,Rafał Augustyn,Poland,1:24:47,
25.0,Byun Youngjun,South Korea,1:24:48,
26.0,Hassanine Sebei,Tunisia,1:25:17,
27.0,Jared Tallent,Australia,1:25:25,
28.0,Recep Çelik,Turkey,1:25:39,
29.0,Nazar Kovalenko,Ukraine,1:25:50,
30.0,Gurmeet Singh,India,1:26:34,
31.0,Babubhai Panucha,India,1:26:53,
32.0,David Kimutai,Kenya,1:27:20,SB
33.0,Yerko Araya,Chile,1:27:47,
34.0,Hedi Teraoui,Tunisia,1:29:48,
35.0,Diego Flores,Mexico,1:30:00,
36.0,Juan Manuel Cano,Argentina,1:30:00,
37.0,Emerson Hernandez,El Salvador,1:30:48,SB
38.0,Ronald Quispe,Bolivia,1:32:09,PB
,Moacir Zimmermann,Brazil,DSQ,
,Gustavo Restrepo,Colombia,DSQ,
,Giorgio Rubino,Italy,DSQ,
,Anatole Ibanez,Sweden,DSQ,
,Adam Rutter,Australia,DNF,
,Mauricio Arteaga,Ecuador,DNF,
,Paquillo Fernández,Spain,DNF,
,Park Chil-sung,South Korea,DNF,
