Week,Date,Kickoff,Opponent,Results Final score,Results Team record,Game site,Attendance
1,"Saturday, April 14",7:00 p.m.,at Rhein Fire,,,LTU arena,30355
2,"Sunday, April 22",4:00 p.m.,Hamburg Sea Devils,,,Olympic Stadium,30657
3,"Saturday, April 28",6:00 p.m.,Amsterdam Admirals,,,Olympic Stadium,11942
4,"Saturday, May 5",6:00 p.m.,at Cologne Centurions,,,RheinEnergieStadion,10084
5,"Sunday, May 13",4:00 p.m.,Cologne Centurions,,,Olympic Stadium,11995
6,"Sunday, May 20",5:00 p.m.,at Frankfurt Galaxy,,,Commerzbank-Arena,30125
7,"Saturday, May 26",6:00 p.m.,at Hamburg Sea Devils,,,AOL Arena,18337
8,"Saturday, June 2",6:00 p.m.,Frankfurt Galaxy,,,Olympic Stadium,11882
9,"Friday, June 8",7:00 p.m.,Rhein Fire,,,Olympic Stadium,12114
10,"Friday, June 15",8:00 p.m.,at Amsterdam Admirals,,,Olympic Stadium,11893
