Round,Round.1,Circuit,Date,Pole Position,Fastest Lap,Winning Rider,Winning Driver,Winning Team,Winning Privateer
1,R1,Jerez,18 March,Raymond Roche,Stephane Mertens,Raymond Roche,,,
1,R2,Jerez,18 March,Raymond Roche,Raymond Roche,Raymond Roche,,,
2,R1,Donington,16 April,Giancarlo Falappa,Rob Phillis,Fred Merkel,,,
2,R2,Donington,16 April,Giancarlo Falappa,Raymond Roche,Giancarlo Falappa,,,
3,R1,Hungaroring,30 April,Malcolm Campbell,Raymond Roche,Fred Merkel,,,
3,R2,Hungaroring,30 April,Malcolm Campbell,Fred Merkel,Raymond Roche,,,
4,R1,Hockenheim,6 May,Raymond Roche,Fred Merkel,Fred Merkel,,,
4,R2,Hockenheim,6 May,Raymond Roche,Raymond Roche,Stephane Mertens,,,
5,R1,Mosport,3 June,Giancarlo Falappa,Raymond Roche,Raymond Roche,,,
5,R2,Mosport,3 June,Giancarlo Falappa,Jamie James,Raymond Roche,,,
6,R1,Brainerd,10 June,Doug Chandler,Doug Chandler,Stephane Mertens,,,
6,R2,Brainerd,10 June,Doug Chandler,Fabrizio Pirovano,Doug Chandler,,,
7,R1,Österreichring,1 July,Stephane Mertens,Rob McElnea,Fabrizio Pirovano,,,
7,R2,Österreichring,1 July,Stephane Mertens,Stephane Mertens,Stephane Mertens,,,
8,R1,Sugo,26 August,Raymond Roche,Raymond Roche,Raymond Roche,,,
8,R2,Sugo,26 August,Raymond Roche,Peter Goddard,Doug Chandler,,,
9,R1,Le Mans,9 September,Baldassarre Monti,Raymond Roche,Raymond Roche,,,
9,R2,Le Mans,9 September,Baldassarre Monti,Jamie James,Raymond Roche,,,
10,R1,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
10,R2,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
11,R1,Shah Alam,4 November,Rob Phillis,Fabrizio Pirovano,Fabrizio Pirovano,,,
11,R2,Shah Alam,4 November,Rob Phillis,Raymond Roche,Fabrizio Pirovano,,,
12,R1,Phillip Island,11 November,Peter Goddard,Fabrizio Pirovano,Peter Goddard,,,
12,R2,Phillip Island,11 November,Peter Goddard,Malcolm Campbell,Rob Phillis,,,
13,R1,Manfeild,18 November,Rob Phillis,Brian Morrison,Terry Rymer,,,
13,R2,Manfeild,18 November,Rob Phillis,Raymond Roche,Rob Phillis,,,
1,R1,Mantorp Park,10 May,Mattias Ekström,Fredrik Ekblom,,Mats Linden,Kristoffersson Motorsport,Richard Göransson
1,R2,Mantorp Park,10 May,,Peggen Andersson,,Fredrik Ekblom,BMW Dealer Team,Pontus Mörth
2,R3,Karlskoga-Gelleråsen,31 May,Jan Nilsson,Jan Nilsson,,Jan Nilsson,Flash Engineering,Pontus Mörth
2,R4,Karlskoga-Gelleråsen,31 May,,Fredrik Ekblom,,Peggen Andersson,BMW Dealer Team,Pontus Mörth
3,R5,Anderstorp,28 June,Mattias Ekström,Fredrik Ekblom,,Jan Nilsson,Flash Engineering,Pontus Mörth
3,R6,Anderstorp,28 June,,Peggen Andersson,,Peggen Andersson,BMW Dealer Team,Georg Bakajev
4,R7,Falkenberg,9 July,Jens Edman,Jens Edman,,Jan Nilsson,Flash Engineering,Pontus Mörth
4,R8,Falkenberg,9 July,,Mattias Ekström,,Jens Edman,Flash Engineering,Pontus Mörth
5,R9,Ring Knutstorp,6 September,Fredrik Ekblom,Fredrik Ekblom,,Fredrik Ekblom,BMW Dealer Team,Pontus Mörth
5,R10,Ring Knutstorp,6 September,,Mats Linden,,Jan Nilsson,Flash Engineering,Georg Bakajev
6,R11,Mantorp Park,27 September,Tommy Kristoffersson,Fredrik Ekblom,,Fredrik Ekblom,BMW Dealer Team,Pontus Mörth
6,R12,Mantorp Park,27 September,,Peggen Andersson,,Jan Nilsson,Flash Engineering,Pontus Mörth
